
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946,21,CHR,,,3,0,1,12,0,12,12.0,4.0,0.3,,,,,,,,,12,0,0
1947,22,CHR,,,2,0,1,-3,0,-3,-3.0,-1.5,0.5,,,,,,,,,-3,0,0
Career,,,,,5,0,2,9,0,12,4.5,1.8,0.4,,,,,,,,,9,0,0
