
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1953,21,RAM,,10,8,,,14,32,43.8,169,0,0.0,3,9.4,30,5.3,1.1,12.1,21.1,21.5,,,,,,0,0,
1956,24,RAM,,10,3,,,10,23,43.5,130,1,4.3,3,13.0,34,5.7,0.7,13.0,43.3,36.8,,,,,,0,0,
1957,25,WAS,,10,7,,,6,28,21.4,103,0,0.0,3,10.7,35,3.7,-1.1,17.2,14.7,2.8,,,,,,0,0,
1958,26,2TM,,,4,,,8,23,34.8,166,1,4.3,1,4.3,37,7.2,6.1,20.8,41.5,57.5,,,,,,0,0,
,,CHI,,14,1,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0,
,,WAS,,10,3,,,8,22,36.4,166,1,4.5,1,4.5,37,7.5,6.4,20.8,55.3,60.0,,,,,,0,0,
1959,27,CHI,,14,5,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
1960,28,PIT,qb,10,12,3,0-0-1,25,51,49.0,358,2,3.9,3,5.9,51,7.0,5.2,14.3,29.8,60.7,,,,,,1,0,1
1961,29,PIT,qb,10,11,8,4-3-0,89,156,57.1,1253,11,7.1,16,10.3,88,8.0,4.8,14.1,113.9,67.0,,,,,,1,1,4
1962,30,CHI,,14,5,,,3,13,23.1,79,1,7.7,4,30.8,65,6.1,-6.2,26.3,15.8,38.5,,,,,,,,0
1963,31,CHI,,10,6,,,29,43,67.4,369,3,7.0,2,4.7,44,8.6,7.9,12.7,61.5,97.9,,,,,,1,1,2
1964,32,CHI,qb,10,9,4,3-1-0,99,160,61.9,1099,12,7.5,7,4.4,63,6.9,6.4,11.1,122.1,89.0,,,,,,1,2,5
1965,33,CHI,QB,10,14,12,9-3-0,176,312,56.4,2641,20,6.4,9,2.9,80,8.5,8.4,15.0,188.6,93.7,,,,,,1,0,14
1966,34,CHI,QB,10,14,14,5-7-2,147,309,47.6,1858,10,3.2,21,6.8,80,6.0,3.6,12.6,132.7,49.3,,,,,,2,1,5
1967,35,CHI,,10,3,,,18,33,54.5,185,0,0.0,2,6.1,30,5.6,2.9,10.3,61.7,45.6,,,,,,,,1
1968,36,CHI,,10,2,,,2,7,28.6,23,0,0.0,0,0.0,13,3.3,3.3,11.5,11.5,40.8,,,,,,,,0
Career,,,,,103,41,21-14-3,626,1190,52.6,8433,61,5.1,74,6.2,88,7.1,5.3,13.5,81.9,66.6,,,,,,7,5,32
9 yrs,,CHI,,,59,30,17-11-2,474,878,54.0,6254,46,5.2,45,5.1,80,7.1,5.9,13.2,106.0,72.9,,,,,,5,4,27
2 yrs,,PIT,,,23,11,4-3-1,114,207,55.1,1611,13,6.3,19,9.2,88,7.8,4.9,14.1,70.0,63.1,,,,,,2,1,5
2 yrs,,RAM,,,11,0,,24,55,43.6,299,1,1.8,6,10.9,34,5.4,0.9,12.5,27.2,27.6,,,,,,0,0,
2 yrs,,WAS,,,10,0,,14,50,28.0,269,1,2.0,4,8.0,37,5.4,2.2,19.2,26.9,22.8,,,,,,0,0,
