
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1937,23,DET,BB,,11,7,,5,23,21.7,102,1,4.3,6,26.1,0,4.4,-6.4,20.4,9.3,20.5,,,,,,0,0
1938,24,DET,TB,,11,8,,27,85,31.8,382,2,2.4,8,9.4,0,4.5,0.7,14.1,34.7,15.9,,,,,,0,0
Career,,,,,22,15,,32,108,29.6,484,3,2.8,14,13.0,0,4.5,-0.8,15.1,22.0,15.4,,,,,,0,0
