
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1947,26,DET,hb,,11,4,26,97,1,26,3.7,8.8,2.4,,10,125,12.5,1,79,0.9,11.4,222,2,1,
1948,27,DET,PR/RH,,11,5,34,14,3,10,0.4,1.3,3.1,,36,450,12.5,2,55,3.3,40.9,464,5,4,
Career,,,,,22,9,60,111,4,26,1.9,5.0,2.7,,46,575,12.5,3,79,2.1,26.1,686,7,5,
