
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1950,23,BAL,P/qb,68,12,5,11,19,1,10,1.7,1.6,0.9,,,,,,,,,19,1,3
1951,24,PHI,P/QB,10,12,12,28,12,1,11,0.4,1.0,2.3,,,,,,,,,12,1,5
1952,25,PHI,P/qb,10,12,3,7,28,0,12,4.0,2.3,0.6,,,,,,,,,28,0,1
1953,26,PHI,P/qb,10,10,4,8,54,3,32,6.8,5.4,0.8,,,,,,,,,54,3,7
1954*,27,PHI,P/QB,10,12,8,15,18,0,15,1.2,1.5,1.3,,,,,,,,,18,0,7
1955*,28,PHI,P/QB,10,12,8,36,132,2,30,3.7,11.0,3.0,,,,,,,,,132,2,4
1956,29,PHI,P,10,12,2,17,61,0,11,3.6,5.1,1.4,,,,,,,,,61,0,2
Career,,,,,82,42,122,324,7,32,2.7,4.0,1.5,,,,,,,,,324,7,29
6 yrs,,PHI,,,70,37,111,305,6,32,2.7,4.4,1.6,,,,,,,,,305,6,26
1 yr,,BAL,,,12,5,11,19,1,10,1.7,1.6,0.9,,,,,,,,,19,1,3
