
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,21,HOU,qb,15,14,3,2-1-0,41,77,53.2,842,5,6.5,6,7.8,92,10.9,8.7,20.5,60.1,81.2,,,,,,,,3
1961,22,HOU,qb,15,14,3,1-1-1,66,127,52.0,1205,12,9.4,6,4.7,80,9.5,9.3,18.3,86.1,96.7,,,,,,1,0,5
1962,23,HOU,,15,14,,,26,50,52.0,433,4,8.0,5,10.0,98,8.7,5.8,16.7,30.9,68.6,,,,,,,,2
1963,24,HOU,qb,15,14,1,0-1-0,37,75,49.3,475,2,2.7,8,10.7,38,6.3,2.1,12.8,33.9,38.9,,,,,,,,1
1964,25,DEN,QB,15,14,10,2-8-0,133,265,50.2,1611,11,4.2,20,7.5,82,6.1,3.5,12.1,115.1,51.6,,,,,,,,3
1965,26,DEN,qb,15,4,1,0-1-0,44,80,55.0,692,5,6.3,3,3.8,66,8.7,8.2,15.7,173.0,89.2,,,,,,,,2
1966,27,HOU,,15,8,,,4,8,50.0,27,0,0.0,1,12.5,10,3.4,-2.3,6.8,3.4,18.2,,,,,,,,0
1967,28,2TM,,,9,3,1-2-0,42,91,46.2,414,3,3.3,6,6.6,53,4.5,2.2,9.9,46.0,43.0,,,,,,,,1
,,HOU,qb,15,4,3,1-2-0,36,72,50.0,309,2,2.8,4,5.6,53,4.3,2.3,8.6,77.3,47.7,,,,,,,,1
,,KAN,,15,5,,,6,19,31.6,105,1,5.3,2,10.5,29,5.5,1.8,17.5,21.0,29.4,,,,,,,,0
1968,29,KAN,qb,15,6,1,1-0-0,25,45,55.6,383,3,6.7,1,2.2,61,8.5,8.8,15.3,63.8,96.8,,,,,,,,2
1969,30,KAN,qb,15,3,1,0-1-0,12,20,60.0,109,1,5.0,1,5.0,31,5.5,4.2,9.1,36.3,70.6,2,38,3.23,2.09,9.1,,,0
Career,,,,,100,23,7-15-1,430,838,51.3,6191,46,5.5,57,6.8,98,7.4,5.4,14.4,61.9,65.6,2,38,7.33,5.37,0.2,1,0,19
6 yrs,,HOU,,,68,10,4-5-1,210,409,51.3,3291,25,6.1,30,7.3,98,8.0,6.0,15.7,48.4,68.2,,,,,,1,0,12
3 yrs,,KAN,,,14,2,1-1-0,43,84,51.2,597,5,6.0,4,4.8,61,7.1,6.2,13.9,42.6,74.4,2,38,3.23,2.09,9.1,,,2
2 yrs,,DEN,,,18,11,2-9-0,177,345,51.3,2303,16,4.6,23,6.7,82,6.7,4.6,13.0,127.9,60.3,,,,,,,,5
