
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1949,22,CHI,qb,,12,2,2,9,1,5,4.5,0.8,0.2,,,,,,,,,9,1,0
1952,25,CHI,K/qb,16,12,2,20,104,1,16,5.2,8.7,1.7,,,,,,,,,104,1,0
1953,26,CHI,K/QB,16,12,12,24,62,0,16,2.6,5.2,2.0,,0,7,,0,7,0.0,0.6,69,0,3
1954,27,CHI,K/QB,16,8,7,19,41,0,19,2.2,5.1,2.4,,,,,,,,,41,0,3
1955,28,CHI,K,16,12,,15,54,2,10,3.6,4.5,1.3,,,,,,,,,54,2,0
1956,29,CHI,K,16,12,,6,47,0,17,7.8,3.9,0.5,,,,,,,,,47,0,2
1957,30,CHI,K,16,12,,5,-5,1,1,-1.0,-0.4,0.4,,,,,,,,,-5,1,0
1960,33,HOU,K/QB,16,14,11,16,16,4,9,1.0,1.1,1.1,,,,,,,,,16,4,8
1961*+,34,HOU,K/QB,16,14,11,7,12,0,7,1.7,0.9,0.5,,1,-16,-16.0,0,-16,0.1,-1.1,-4,0,3
1962*,35,HOU,K/QB,16,14,14,3,6,0,10,2.0,0.4,0.2,,,,,,,,,6,0,2
1963*,36,HOU,K/QB,16,14,13,4,1,0,7,0.3,0.1,0.3,,,,,,,,,1,0,8
1964,37,HOU,K/QB,16,14,13,4,-2,0,6,-0.5,-0.1,0.3,,0,-7,,0,-7,0.0,-0.5,-9,0,7
1965,38,HOU,K/QB,16,14,12,4,-6,0,0,-1.5,-0.4,0.3,,,,,,,,,-6,0,2
1966,39,HOU,K/QB,16,14,8,3,1,0,1,0.3,0.1,0.2,,,,,,,,,1,0,3
1969,42,OAK,K,16,14,,1,0,0,0,0.0,0.0,0.1,,,,,,,,,0,0,1
1970,43,OAK,K,16,14,0,2,4,0,4,2.0,0.3,0.1,,,,,,,,,4,0,1
Career,,,,,340,106,135,344,9,19,2.5,1.0,0.4,,1,-16,-16.0,0,7,0.0,0.0,328,9,47
10 yrs,,CHI,,,115,23,91,312,5,19,3.4,2.7,0.8,,0,7,,0,7,0.0,0.1,319,5,8
9 yrs,,OAK,,,126,1,3,4,0,4,1.3,0.0,0.0,,,,,,,,,4,0,6
7 yrs,,HOU,,,98,82,41,28,4,10,0.7,0.3,0.4,,1,-23,-23.0,0,0,0.0,-0.2,5,4,33
1 yr,,BAL,,,1,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
