
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1945,27,CRD,QB,,8,3,30,-34,1,9,-1.1,-4.3,3.8,,,,,,,,,-34,1,12
1946,28,CRD,QB,,11,3,28,-61,3,6,-2.2,-5.5,2.5,,,,,,,,,-61,3,15
1947,29,CRD,QB,,12,8,8,11,2,3,1.4,0.9,0.7,,,,,,,,,11,2,3
1948,30,CRD,qb,,7,2,8,6,1,5,0.8,0.9,1.1,,,,,,,,,6,1,1
1949,31,CRD,QB,,12,7,4,34,0,22,8.5,2.8,0.3,,,,,,,,,34,0,2
1950,32,GNB,qb,28,11,1,7,18,1,4,2.6,1.6,0.6,,,,,,,,,18,1,2
Career,,,,,61,24,85,-26,8,22,-0.3,-0.4,1.4,,,,,,,,,-26,8,35
5 yrs,,CRD,,,50,23,78,-44,7,22,-0.6,-0.9,1.6,,,,,,,,,-44,7,33
1 yr,,GNB,,,11,1,7,18,1,4,2.6,1.6,0.6,,,,,,,,,18,1,2
