
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1961,24,WAS,,15,5,,3,-1,0,4,-0.3,-0.2,0.6,,,,,,,,,-1,0,0
1962,25,WAS,,15,1,,1,-3,0,-3,-3.0,-3.0,1.0,,,,,,,,,-3,0,2
1963,26,WAS,,15,5,,3,4,0,2,1.3,0.8,0.6,,,,,,,,,4,0,1
1965,28,DET,qb,15,6,3,1,-5,0,-5,-5.0,-0.8,0.2,,,,,,,,,-5,0,1
1966,29,PIT,qb,15,4,2,2,-18,0,-4,-9.0,-4.5,0.5,,,,,,,,,-18,0,2
Career,,,,,26,6,10,-23,0,4,-2.3,-0.9,0.4,,,,,,,,,-23,0,6
4 yrs,,WAS,,,14,0,7,0,0,4,0.0,0.0,0.5,,,,,,,,,0,0,3
1 yr,,DET,,,6,3,1,-5,0,-5,-5.0,-0.8,0.2,,,,,,,,,-5,0,1
1 yr,,PIT,,,4,2,2,-18,0,-4,-9.0,-4.5,0.5,,,,,,,,,-18,0,2
1 yr,,STL,,,2,1,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
