
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1942*+,21,PIT,KR/PR/TB,,11,11,,35,94,37.2,438,2,2.1,5,5.3,38,4.7,2.7,12.5,39.8,37.5,,,,,,0,0
1945,24,PIT,TB,,4,4,,10,32,31.3,58,0,0.0,2,6.3,32,1.8,-1.0,5.8,14.5,14.6,,,,,,0,0
1946,25,PIT,K/KR/P/PR/TB,,11,11,,32,90,35.6,452,2,2.2,9,10.0,37,5.0,1.0,14.1,41.1,20.5,,,,,,0,0
1947,26,DET,KR/LH/PR,,9,8,,3,4,75.0,24,2,50.0,0,0.0,11,6.0,16.0,8.0,2.7,129.2,,,,,,0,0
1948,27,DET,LH,,7,4,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,,,,,,0,0
1951*,30,WAS,K/LH/PR,35,12,,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,1.1,118.7,,,,,,0,0
Career,,,,,90,49,,81,222,36.5,985,6,2.7,17,7.7,38,4.4,1.5,12.2,10.9,28.1,,,,,,0,0
3 yrs,,DET,,,28,23,,3,5,60.0,24,2,40.0,1,20.0,11,4.8,3.8,8.0,0.9,72.1,,,,,,0,0
3 yrs,,PIT,,,26,26,,77,216,35.6,948,4,1.9,16,7.4,38,4.4,1.4,12.3,36.5,25.4,,,,,,0,0
3 yrs,,WAS,,,36,0,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,0.4,118.7,,,,,,0,0
