
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1958,22,CLE,,15,4,1,2,1,0,7,0.5,0.3,0.5,,,,,,,,,1,0,0
1959,23,CLE,,15,2,,1,11,0,11,11.0,5.5,0.5,,,,,,,,,11,0,0
1960,24,DET,QB,15,11,10,32,81,5,14,2.5,7.4,2.9,,,,,,,,,81,5,2
1961,25,DET,QB,15,13,8,33,238,5,40,7.2,18.3,2.5,,,,,,,,,238,5,4
1962,26,CLE,qb,15,7,7,9,15,0,7,1.7,2.1,1.3,,,,,,,,,15,0,2
1963,27,CLE,qb,15,4,1,5,-19,0,2,-3.8,-4.8,1.3,,,,,,,,,-19,0,2
1964,28,CLE,,11,3,,1,-8,0,-8,-8.0,-2.7,0.3,,,,,,,,,-8,0,1
1965,29,CLE,qb,11,6,2,4,46,0,17,11.5,7.7,0.7,,,,,,,,,46,0,0
1966,30,CLE,,11,14,,3,-11,0,4,-3.7,-0.8,0.2,,,,,,,,,-11,0,3
1968,32,WAS,qb,11,7,2,2,13,0,8,6.5,1.9,0.3,,,,,,,,,13,0,1
Career,,,,,89,31,92,367,10,40,4.0,4.1,1.0,,,,,,,,,367,10,15
7 yrs,,CLE,,,40,11,25,35,0,17,1.4,0.9,0.6,,,,,,,,,35,0,8
2 yrs,,DET,,,24,18,65,319,10,40,4.9,13.3,2.7,,,,,,,,,319,10,6
2 yrs,,WAS,,,21,2,2,13,0,8,6.5,0.6,0.1,,,,,,,,,13,0,1
1 yr,,NOR,,,4,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
