
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,24,DTX,qb,14,14,2,1-0-0,30,54,55.6,357,1,1.9,2,3.7,39,6.6,5.3,11.9,25.5,66.7,,,,,,,,2
1961,25,SDG,,17,13,,,23,55,41.8,365,2,3.6,3,5.5,45,6.6,4.9,15.9,28.1,54.0,,,,,,,,1
1962,26,2TM,,,11,1,0-1-0,27,51,52.9,225,1,2.0,1,2.0,17,4.4,3.9,8.3,20.5,62.9,,,,,,,,1
,,DEN,,14,4,,,1,2,50.0,8,0,0.0,0,0.0,8,4.0,4.0,8.0,2.0,60.4,,,,,,,,0
,,OAK,qb,14,7,1,0-1-0,26,49,53.1,217,1,2.0,1,2.0,17,4.4,3.9,8.3,31.0,63.1,,,,,,,,1
Career,,,,,38,3,1-1-0,80,160,50.0,947,4,2.5,6,3.8,45,5.9,4.7,11.8,24.9,61.1,,,,,,,,4
1 yr,,DEN,,,4,0,,1,2,50.0,8,0,0.0,0,0.0,8,4.0,4.0,8.0,2.0,60.4,,,,,,,,0
1 yr,,DTX,,,14,2,1-0-0,30,54,55.6,357,1,1.9,2,3.7,39,6.6,5.3,11.9,25.5,66.7,,,,,,,,2
1 yr,,OAK,,,7,1,0-1-0,26,49,53.1,217,1,2.0,1,2.0,17,4.4,3.9,8.3,31.0,63.1,,,,,,,,1
1 yr,,SDG,,,13,0,,23,55,41.8,365,2,3.6,3,5.5,45,6.6,4.9,15.9,28.1,54.0,,,,,,,,1
