
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,23,OAK,QB,15,14,13,5-7-0,136,252,54.0,1738,12,4.8,12,4.8,61,6.9,5.7,12.8,124.1,71.8,,,,,,2,2,7
1961,24,OAK,QB,15,14,14,2-12-0,190,366,51.9,2176,15,4.1,19,5.2,85,5.9,4.4,11.5,155.4,62.1,,,,,,,,7
1963,26,OAK,QB,15,14,9,8-1-0,113,247,45.7,2101,20,8.1,13,5.3,93,8.5,7.8,18.6,150.1,80.7,,,,,,1,1,8
1964,27,OAK,QB,15,14,7,1-5-1,98,200,49.0,1389,7,3.5,14,7.0,77,6.9,4.5,14.2,99.2,54.4,,,,,,3,2,4
1965,28,OAK,QB,15,14,11,7-3-1,122,269,45.4,1593,14,5.2,11,4.1,69,5.9,5.1,13.1,113.8,64.9,,,,,,1,2,6
1966*,29,OAK,QB,15,14,10,7-2-1,151,306,49.3,2638,24,7.8,14,4.6,78,8.6,8.1,17.5,188.4,86.2,,,,,,2,1,11
1967,30,BUF,qb,16,14,3,1-2-0,22,64,34.4,260,0,0.0,8,12.5,59,4.1,-1.6,11.8,18.6,8.1,,,,,,,,1
1968,31,BUF,qb,16,1,1,0-0-1,3,5,60.0,15,0,0.0,1,20.0,12,3.0,-6.0,5.0,15.0,25.0,,,,,,,,0
1969,32,2TM,,,7,,,3,6,50.0,49,1,16.7,0,0.0,33,8.2,11.5,16.3,7.0,117.4,1,11,5.43,8.29,14.3,,,0
,,BUF,,16,2,,,2,5,40.0,16,0,0.0,0,0.0,14,3.2,3.2,8.0,8.0,48.7,1,11,0.83,0.83,16.7,,,0
,,KAN,,12,5,,,1,1,100.0,33,1,100.0,0,0.0,33,33.0,53.0,33.0,6.6,158.3,0,0,33.00,53.00,0.0,,,0
Career,,,,,106,68,31-32-4,838,1715,48.9,11959,93,5.4,92,5.4,93,7.0,5.6,14.3,112.8,67.6,1,11,6.96,5.63,0.1,9,8,44
6 yrs,,OAK,,,84,64,30-30-3,810,1640,49.4,11635,92,5.6,83,5.1,93,7.1,5.9,14.4,138.5,70.4,,,,,,9,8,43
3 yrs,,BUF,,,17,4,1-2-1,27,74,36.5,291,0,0.0,9,12.2,59,3.9,-1.5,10.8,17.1,9.3,1,11,0.83,0.83,16.7,,,1
1 yr,,KAN,,,5,0,,1,1,100.0,33,1,100.0,0,0.0,33,33.0,53.0,33.0,6.6,158.3,0,0,33.00,53.00,0.0,,,0
