
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1950,25,NYG,qb,20,8,3,3-0-0,25,55,45.5,338,4,7.3,3,5.5,47,6.1,5.1,13.5,42.3,67.1,,,,,,,,
1951,26,NYG,qb,20,6,1,0-0-1,8,21,38.1,155,1,4.8,4,19.0,56,7.4,-0.2,19.4,25.8,40.9,,,,,,0,0,
Career,,,,,14,4,3-0-1,33,76,43.4,493,5,6.6,7,9.2,56,6.5,3.7,14.9,35.2,48.8,,,,,,0,0,
