
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1956,22,DET,,15,8,,,3,6,50.0,19,0,0.0,1,16.7,14,3.2,-4.3,6.3,2.4,17.4,,,,,,0,0
1957,23,DET,,80,12,,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,
1959,25,DET,,87,9,,,9,27,33.3,168,0,0.0,2,7.4,41,6.2,2.9,18.7,18.7,24.9,,,,,,0,0
1961*,27,MIN,WR,89,14,10,,0,3,0.0,0,0,0.0,1,33.3,0,0.0,-15.0,,0.0,0.0,,,,,,,
Career,,,,,95,48,,12,38,31.6,187,0,0.0,4,10.5,41,4.9,0.2,15.6,2.0,9.3,,,,,,0,0
4 yrs,,MIN,,,54,48,,0,3,0.0,0,0,0.0,1,33.3,0,0.0,-15.0,,0.0,0.0,,,,,,,
3 yrs,,DET,,,29,0,,12,35,34.3,187,0,0.0,3,8.6,41,5.3,1.5,15.6,6.4,17.2,,,,,,0,0
1 yr,,PHI,,,12,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,,
