
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946,25,CLE,PR/QB,,14,9,30,-125,1,0,-4.2,-8.9,2.1,,,,,,,,,-125,1,0
1947+,26,CLE,PR/QB,,14,9,19,72,1,0,3.8,5.1,1.4,,,,,,,,,72,1,0
1948+,27,CLE,QB,,14,14,23,146,6,0,6.3,10.4,1.6,,,,,,,,,146,6,0
1949+,28,CLE,QB,,12,11,27,107,3,0,4.0,8.9,2.3,,,,,,,,,107,3,0
1950*,29,CLE,QB,60,12,12,55,145,6,20,2.6,12.1,4.6,,,,,,,,,145,6,6
1951*+,30,CLE,QB,60,12,12,35,29,3,12,0.8,2.4,2.9,,,,,,,,,29,3,7
1952*,31,CLE,QB,14,12,12,42,130,4,21,3.1,10.8,3.5,,,,,,,,,130,4,4
1953*+,32,CLE,QB,14,12,11,43,143,6,21,3.3,11.9,3.6,,,,,,,,,143,6,8
1954*+,33,CLE,QB,14,12,12,63,114,8,14,1.8,9.5,5.3,,,,,,,,,114,8,3
1955+,34,CLE,QB,14,12,12,68,121,6,36,1.8,10.1,5.7,,,,,,,,,121,6,7
Career,,,,,126,114,405,882,44,36,2.2,7.0,3.2,,,,,,,,,882,44,35
