
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1940,23,PHI,,,9,0,14,-76,0,0,-5.4,-8.4,1.6,,,,,,,,,-76,0,0
1941,24,PHI,qb,,11,1,15,11,0,8,0.7,1.0,1.4,,4,36,9.0,0,16,0.4,3.3,47,0,0
Career,,,,,20,1,29,-65,0,8,-2.2,-3.3,1.5,,4,36,9.0,0,16,0.2,1.8,-29,0,0
