
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1948,22,CHI,,,11,1,13,80,1,18,6.2,7.3,1.2,,,,,,,,,80,1,3
1949,23,NYY,QB,,12,12,54,196,3,27,3.6,16.3,4.5,,,,,,,,,196,3,10
1950,24,DET,QB,22,12,12,56,250,4,30,4.5,20.8,4.7,,,,,,,,,250,4,13
1951*,25,DET,QB,22,12,12,61,290,1,36,4.8,24.2,5.1,,,,,,,,,290,1,8
1952*+,26,DET,QB,22,12,11,94,411,1,29,4.4,34.3,7.8,,,,,,,,,411,1,5
1953*,27,DET,QB,22,12,11,87,343,0,23,3.9,28.6,7.3,,,,,,,,,343,0,8
1954,28,DET,QB,22,12,8,30,119,2,34,4.0,9.9,2.5,,,,,,,,,119,2,2
1955,29,DET,QB,22,12,10,31,111,0,19,3.6,9.3,2.6,,,,,,,,,111,0,4
1956*+,30,DET,K/QB,22,12,12,46,169,5,20,3.7,14.1,3.8,,,,,,,,,169,5,3
1957,31,DET,K/qb,22,11,7,24,99,0,21,4.1,9.0,2.2,,,,,,,,,99,0,3
1958*,32,2TM,,,12,11,40,154,3,21,3.9,12.8,3.3,,,,,,,,,154,3,7
,,PIT,QB,22,10,10,37,153,3,21,4.1,15.3,3.7,,,,,,,,,153,3,5
,,DET,qb,22,2,1,3,1,0,4,0.3,0.5,1.5,,,,,,,,,1,0,2
1959*,33,PIT,K/QB,22,12,12,33,181,2,21,5.5,15.1,2.8,,,,,,,,,181,2,2
1960,34,PIT,K/QB,22,12,9,19,12,2,13,0.6,1.0,1.6,,,,,,,,,12,2,1
1961,35,PIT,QB,22,8,6,8,11,0,9,1.4,1.4,1.0,,,,,,,,,11,0,4
1962,36,PIT,QB,22,13,11,15,25,1,17,1.7,1.9,1.2,,,,,,,,,25,1,7
Career,,,,,175,145,611,2451,25,36,4.0,14.0,3.5,,,,,,,,,2451,25,80
9 yrs,,DET,,,97,84,432,1793,13,36,4.2,18.5,4.5,,,,,,,,,1793,13,48
5 yrs,,PIT,,,55,48,112,382,8,21,3.4,6.9,2.0,,,,,,,,,382,8,19
1 yr,,CHI,,,11,1,13,80,1,18,6.2,7.3,1.2,,,,,,,,,80,1,3
1 yr,,NYY,,,12,12,54,196,3,27,3.6,16.3,4.5,,,,,,,,,196,3,10
