
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1953,21,RAM,,10,8,,14,28,1,17,2.0,3.5,1.8,,,,,,,,,28,1,4
1956,24,RAM,,10,3,,1,8,0,8,8.0,2.7,0.3,,,,,,,,,8,0,0
1957,25,WAS,,10,7,,8,-2,0,16,-0.3,-0.3,1.1,,,,,,,,,-2,0,1
1958,26,2TM,,,4,,2,16,0,23,8.0,4.0,0.5,,,,,,,,,16,0,0
,,CHI,,14,1,,1,-7,0,-7,-7.0,-7.0,1.0,,,,,,,,,-7,0,0
,,WAS,,10,3,,1,23,0,23,23.0,7.7,0.3,,,,,,,,,23,0,0
1959,27,CHI,,14,5,,1,0,0,0,0.0,0.0,0.2,,,,,,,,,0,0,0
1960,28,PIT,qb,10,12,3,3,-8,0,0,-2.7,-0.7,0.3,,,,,,,,,-8,0,3
1961,29,PIT,qb,10,11,8,14,4,2,12,0.3,0.4,1.3,,,,,,,,,4,2,7
1963,31,CHI,,10,6,,7,1,1,2,0.1,0.2,1.2,,,,,,,,,1,1,0
1964,32,CHI,qb,10,9,4,12,28,0,12,2.3,3.1,1.3,,,,,,,,,28,0,3
1965,33,CHI,QB,10,14,12,28,33,3,24,1.2,2.4,2.0,,,,,,,,,33,3,12
1966,34,CHI,QB,10,14,14,18,14,2,12,0.8,1.0,1.3,,,,,,,,,14,2,8
1967,35,CHI,,10,3,,4,-13,0,2,-3.3,-4.3,1.3,,,,,,,,,-13,0,2
Career,,,,,103,41,112,109,9,24,1.0,1.1,1.1,,,,,,,,,109,9,40
9 yrs,,CHI,,,59,30,71,56,6,24,0.8,0.9,1.2,,,,,,,,,56,6,25
2 yrs,,PIT,,,23,11,17,-4,2,12,-0.2,-0.2,0.7,,,,,,,,,-4,2,10
2 yrs,,RAM,,,11,0,15,36,1,17,2.4,3.3,1.4,,,,,,,,,36,1,4
2 yrs,,WAS,,,10,0,9,21,0,23,2.3,2.1,0.9,,,,,,,,,21,0,1
