
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2013,5,2013-10-03,22-233,BUF,@,CLE,L 24-37,,8,20,40.00,80,0,1,31.2,4.00,1.75,0,0,,0
2,2013,9,2013-11-03,22-264,BUF,,KAN,L 13-23,*,18,39,46.15,229,1,2,52.2,5.87,4.08,3,17,5.67,0
,,,2 Games,,,,,0-2-0,,26,59,44.07,309,1,3,45.1,5.24,3.29,3,17,5.67,0
