
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2009,1,2009-09-13,22-306,NYJ,@,HOU,W 24-7,*,18,31,58.06,272,1,1,84.3,8.77,7.97,5,6,1.20,0,,0,0,0.0,0,0
2,2009,2,2009-09-20,22-313,NYJ,,NWE,W 16-9,*,14,22,63.64,163,1,0,101.1,7.41,8.32,2,-2,-1.00,0,,0,0,0.0,0,0
3,2009,3,2009-09-27,22-320,NYJ,,TEN,W 24-17,*,17,30,56.67,171,2,1,81.4,5.70,5.53,4,10,2.50,1,,1,6,0.0,0,0
4,2009,4,2009-10-04,22-327,NYJ,@,NOR,L 10-24,*,14,27,51.85,138,0,3,27.0,5.11,0.11,4,24,6.00,0,,0,0,0.0,0,0
5,2009,5,2009-10-12,22-335,NYJ,@,MIA,L 27-31,*,12,24,50.00,172,1,0,87.5,7.17,8.00,2,6,3.00,0,,0,0,0.0,0,0
6,2009,6,2009-10-18,22-341,NYJ,,BUF,L 13-16,*,10,29,34.48,119,0,5,8.3,4.10,-3.66,1,6,6.00,0,,0,0,0.0,0,0
7,2009,7,2009-10-25,22-348,NYJ,@,OAK,W 38-0,*,9,16,56.25,143,1,0,107.0,8.94,10.19,2,4,2.00,1,,1,6,0.0,0,0
8,2009,8,2009-11-01,22-355,NYJ,,MIA,L 25-30,*,20,35,57.14,265,2,0,100.3,7.57,8.71,4,6,1.50,1,,1,6,0.0,0,0
9,2009,9,2009-11-15,23-004,NYJ,,JAX,L 22-24,*,16,30,53.33,212,1,2,59.3,7.07,4.73,0,0,,0,,0,0,0.0,0,0
10,2009,10,2009-11-22,23-011,NYJ,@,NWE,L 14-31,*,8,21,38.10,136,1,4,37.1,6.48,-1.14,1,2,2.00,0,,0,0,0.0,0,0
11,2009,11,2009-11-29,23-018,NYJ,,CAR,W 17-6,*,13,17,76.47,154,0,1,79.0,9.06,6.41,3,27,9.00,0,,0,0,0.0,0,0
12,2009,12,2009-12-03,23-022,NYJ,@,BUF,W 19-13,*,7,15,46.67,104,1,0,92.1,6.93,8.27,1,8,8.00,0,,0,0,0.0,0,0
13,2009,14,2009-12-20,23-039,NYJ,,ATL,L 7-10,*,18,32,56.25,226,1,3,49.7,7.06,3.47,3,7,2.33,0,,0,0,0.0,0,0
14,2009,15,2009-12-27,23-046,NYJ,@,IND,W 29-15,*,12,19,63.16,106,0,0,78.0,5.58,5.58,2,0,0.00,0,2,0,4,0.0,0,0
15,2009,16,2010-01-03,23-053,NYJ,,CIN,W 37-0,*,8,16,50.00,63,0,0,60.2,3.94,3.94,2,2,1.00,0,,0,0,0.0,0,0
