
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
1,2005,4,2005-10-02,23-138,NWE,,SDG,L 17-41,,2,4,50.00,15,0,1,19.8,3.75,-7.50,1,-1,-1.00,0,0,0,0,,0,,0,0,0.0,0,0,0,0,,0
2,2005,13,2005-12-11,23-208,NWE,@,BUF,W 35-7,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,0,0,0.0,0,0,0,0,,0
3,2005,16,2006-01-01,23-229,NWE,,MIA,L 26-28,,11,20,55.00,168,2,0,116.2,8.40,10.40,5,13,2.60,0,0,0,0,,0,,0,0,0.0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast,Pnt,Yds,Y/P,Blck
4,2006,7,2006-10-30,24-166,NWE,@,MIN,W 31-7,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0,,0,0,0.0,0,0,0,0,,0
5,2006,10,2006-11-19,24-186,NWE,@,GNB,W 35-0,,0,0,,0,0,0,,,,0,0,,0,0,0,0,,0,,0,0,0.0,0,0,0,0,,0
6,2006,13,2006-12-10,24-207,NWE,@,MIA,L 0-21,,2,3,66.67,12,0,0,74.3,4.00,4.00,0,0,,0,0,0,0,,0,,0,0,0.0,0,0,0,0,,0
