
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,2013,8,2013-11-03,23-336,OAK,,PHI,L 20-49,,7,15,46.67,87,0,0,65.1,5.80,5.80,0,0,,0,0.0,0,0
2,2013,10,2013-11-17,23-350,OAK,@,HOU,W 28-23,*,18,32,56.25,197,3,0,105.9,6.16,8.03,3,-3,-1.00,0,0.0,0,0
3,2013,11,2013-11-24,23-357,OAK,,TEN,L 19-23,*,19,32,59.38,260,1,1,82.8,8.13,7.34,2,6,3.00,0,0.0,0,0
4,2013,12,2013-11-28,23-361,OAK,@,DAL,L 24-31,*,18,30,60.00,255,0,1,73.6,8.50,7.00,2,-1,-0.50,0,0.0,0,0
5,2013,13,2013-12-08,24-006,OAK,@,NYJ,L 27-37,*,18,31,58.06,245,2,1,91.5,7.90,7.74,2,20,10.00,0,0.0,0,0
6,2013,14,2013-12-15,24-013,OAK,,KAN,L 31-56,*,18,35,51.43,297,2,4,59.8,8.49,4.49,1,0,0.00,0,0.0,0,0
7,2013,15,2013-12-22,24-020,OAK,@,SDG,L 13-26,*,20,36,55.56,206,0,1,60.6,5.72,4.47,1,5,5.00,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
8,2014,4,2014-09-28,24-300,OAK,,MIA,L 14-38,,12,19,63.16,129,1,2,61.0,6.79,3.11,2,3,1.50,0,0.0,1,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
9,2015,1,2015-09-13,25-285,OAK,,CIN,L 13-33,,23,31,74.19,142,2,1,91.1,4.58,4.42,0,0,,0,0.0,0,0
,,,9 Games,,,,,1-8-0,,153,261,58.62,1818,11,11,76.4,6.97,5.91,13,30,2.31,0,0.0,1,0
