
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2011,2,2011-09-18,24-055,PHI,@,ATL,L 31-35,,7,9,77.78,72,0,0,100.0,8.00,8.00,1,2,2.00,0
2,2011,3,2011-09-25,24-062,PHI,,NYG,L 16-29,,4,7,57.14,35,0,2,31.0,5.00,-7.86,0,0,,0
3,2011,14,2011-12-18,24-146,PHI,,NYJ,W 45-19,,0,0,,0,0,0,,,,2,-2,-1.00,0
4,2011,16,2012-01-01,24-160,PHI,,WAS,W 34-10,,,,,,,,,,,,,,
,,,4 Games,,,,,2-2-0,,11,16,68.75,107,0,2,47.7,6.69,1.06,3,0,0.00,0
