
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2011,11,2011-11-27,24-183,HOU,@,JAX,W 20-13,,8,15,53.33,70,0,0,66.0,4.67,4.67,4,-3,-0.75,0,0,0,0.0,0,0
2,2011,12,2011-12-04,24-190,HOU,,ATL,W 17-10,*,12,25,48.00,188,1,0,86.7,7.52,8.32,2,10,5.00,0,0,0,0.0,0,0
3,2011,13,2011-12-11,24-197,HOU,@,CIN,W 20-19,*,26,44,59.09,300,2,1,85.4,6.82,6.70,5,36,7.20,0,0,0,0.0,0,0
4,2011,14,2011-12-18,24-204,HOU,,CAR,L 13-28,*,19,30,63.33,212,0,2,56.5,7.07,4.07,2,15,7.50,0,0,0,0.0,1,0
5,2011,15,2011-12-22,24-208,HOU,@,IND,L 16-19,*,13,16,81.25,132,0,0,101.0,8.25,8.25,1,-1,-1.00,0,0,0,0.0,0,0
6,2011,16,2012-01-01,24-218,HOU,,TEN,L 22-23,*,4,4,100.00,47,0,0,115.6,11.75,11.75,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
7,2012,3,2012-09-23,25-118,HOU,@,DEN,W 31-25,,,,,,,,,,,,,,,,,,,
8,2012,6,2012-10-14,25-139,HOU,,GNB,L 24-42,,2,5,40.00,23,0,1,15.0,4.60,-4.40,0,0,,0,0,0,0.0,0,0
9,2012,13,2012-12-10,25-196,HOU,@,NWE,L 14-42,,2,4,50.00,15,0,0,59.4,3.75,3.75,1,1,1.00,1,1,6,0.0,0,0
10,2012,15,2012-12-23,25-209,HOU,,MIN,L 6-23,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-2,-2.00,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
11,2013,3,2013-09-22,26-117,HOU,@,BAL,L 9-30,,,,,,,,,,,,,,,,,,,
12,2013,5,2013-10-06,26-131,HOU,@,SFO,L 3-34,,3,5,60.00,15,0,0,64.6,3.00,3.00,1,0,0.00,0,0,0,0.0,1,0
13,2013,6,2013-10-13,26-138,HOU,,STL,L 13-38,,12,17,70.59,98,0,2,45.3,5.76,0.47,0,0,,0,0,0,0.0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
14,2014,3,2014-09-18,27-113,ATL,,TAM,W 56-14,,3,4,75.00,64,0,1,77.1,16.00,4.75,0,0,,0,0,0,0.0,0,0
,,,14 Games,,,,,5-9-0,,104,170,61.18,1164,3,7,70.3,6.85,5.35,17,56,3.29,1,1,6,0.0,2,0
