
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2014,1,2014-09-07,25-097,STL,,MIN,L 6-34,,16,23,69.57,192,0,1,76.7,8.35,6.39,1,0,0.00,0
2,2014,2,2014-09-14,25-104,STL,@,TAM,W 19-17,*,22,29,75.86,235,0,0,99.1,8.10,8.10,1,0,0.00,0
3,2014,3,2014-09-21,25-111,STL,,DAL,L 31-34,*,30,42,71.43,327,3,2,98.0,7.79,7.07,2,-1,-0.50,0
4,2014,4,2014-10-05,25-125,STL,@,PHI,L 28-34,*,29,49,59.18,375,3,0,103.7,7.65,8.88,3,30,10.00,0
5,2014,5,2014-10-13,25-133,STL,,SFO,L 17-31,*,21,42,50.00,236,1,1,65.2,5.62,5.02,1,-1,-1.00,0
6,2014,6,2014-10-19,25-139,STL,,SEA,W 28-26,*,17,20,85.00,155,2,0,132.3,7.75,9.75,2,-2,-1.00,0
7,2014,7,2014-10-26,25-146,STL,@,KAN,L 7-34,*,15,25,60.00,160,1,1,75.4,6.40,5.40,1,1,1.00,0
8,2014,8,2014-11-02,25-153,STL,@,SFO,W 13-10,*,13,24,54.17,105,1,2,44.6,4.38,1.46,2,9,4.50,0
9,2014,9,2014-11-09,25-160,STL,@,ARI,L 14-31,*,17,30,56.67,216,1,2,62.6,7.20,4.87,3,0,0.00,0
10,2014,12,2014-11-30,25-181,STL,,OAK,W 52-0,,,,,,,,,,,,,,
,,,10 Games,,,,,4-6-0,,180,284,63.38,2001,12,9,85.1,7.05,6.46,16,36,2.25,0
