
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2013,7,2013-10-24,22-326,TAM,,CAR,L 13-31,0,0,,0,1,1,9,9.00,0,1,25,25.00,0,0,0,,0
2,2013,8,2013-11-03,22-336,TAM,@,SEA,L 24-27,1,14,14.00,0,0,0,0,,0,0,0,,0,1,0,0.00,0
3,2013,9,2013-11-11,22-344,TAM,,MIA,W 22-19,0,0,,0,2,0,0,,0,2,42,21.00,0,0,17,,0
4,2013,10,2013-11-17,22-350,TAM,,ATL,W 41-28,,,,,,,,,,,,,,,,,
5,2013,11,2013-11-24,22-357,TAM,@,DET,W 24-21,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,,0
6,2013,13,2013-12-08,23-006,TAM,,BUF,W 27-6,0,0,,0,3,1,3,3.00,0,0,0,,0,0,0,,0
7,2013,14,2013-12-15,23-013,TAM,,SFO,L 14-33,0,0,,0,1,0,0,,0,0,0,,0,0,0,,0
,,,7 Games,,,,,4-3-0,2,15,7.50,0,7,2,12,6.00,0,3,67,22.33,0,1,17,17.00,0
