
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,2,2015-09-20,,SFO,@,PIT,L 18-43,2,2,18,9.00,0,2,47,23.50,0,1,4,4.00,0
2,2015,3,2015-09-27,,SFO,@,ARI,L 7-47,0,0,0,,0,4,95,23.75,0,0,0,,0
3,2015,6,2015-10-18,,SFO,,BAL,W 25-20,0,0,0,,0,0,0,,0,0,0,,0
4,2015,9,2015-11-08,,SFO,,ATL,W 17-16,0,0,0,,0,0,0,,0,0,0,,0
,,,4 Games,,,,,2-2-0,2,2,18,9.00,0,6,142,23.67,0,1,4,4.00,0
