
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2013,2,2013-09-15,24-207,ARI,,DET,W 25-21,4,3,40,13.33,0,0,0,,0,0,0,0.0,0,0
2,2013,3,2013-09-22,24-214,ARI,@,NOR,L 7-31,0,0,0,,0,0,0,,0,0,0,0.0,1,0
3,2013,4,2013-09-29,24-221,ARI,@,TAM,W 13-10,,,,,,,,,,,,,,
4,2013,10,2013-11-17,24-270,JAX,,ARI,L 14-27,5,2,20,10.00,0,0,0,,0,0,0,0.0,0,0
5,2013,11,2013-11-24,24-277,JAX,@,HOU,W 13-6,4,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
6,2013,12,2013-12-01,24-284,JAX,@,CLE,W 32-28,,,,,,,,,,,,,,
7,2013,13,2013-12-05,24-288,JAX,,HOU,W 27-20,,,,,,,,,,,,,,
8,2013,14,2013-12-15,24-298,JAX,,BUF,L 20-27,5,4,42,10.50,0,1,17,17.00,0,0,0,0.0,0,0
9,2013,15,2013-12-22,24-305,JAX,,TEN,L 16-20,7,4,45,11.25,0,1,43,43.00,0,0,0,0.0,0,0
10,2013,16,2013-12-29,24-312,JAX,@,IND,L 10-30,9,8,75,9.38,1,0,0,,0,1,6,0.0,0,0
,,,10 Games,,,,,5-5-0,34,22,229,10.41,1,2,60,30.00,0,1,6,0.0,1,0
