
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,1,2014-09-07,22-299,JAX,@,PHI,L 17-34,9,4,110,27.50,2,2,12
2,2014,2,2014-09-14,22-306,JAX,@,WAS,L 10-41,6,2,13,6.50,0,0,0
3,2014,3,2014-09-21,22-313,JAX,,IND,L 17-44,3,1,63,63.00,1,1,6
4,2014,4,2014-09-28,22-320,JAX,@,SDG,L 14-33,6,5,68,13.60,0,0,0
5,2014,5,2014-10-05,22-327,JAX,,PIT,L 9-17,11,4,26,6.50,0,0,0
6,2014,6,2014-10-12,22-334,JAX,@,TEN,L 14-16,4,2,18,9.00,0,0,0
7,2014,7,2014-10-19,22-341,JAX,,CLE,W 24-6,2,1,7,7.00,0,0,0
8,2014,8,2014-10-26,22-348,JAX,,MIA,L 13-27,4,3,49,16.33,0,0,0
9,2014,9,2014-11-02,22-355,JAX,@,CIN,L 23-33,9,7,112,16.00,2,2,12
10,2014,10,2014-11-09,22-362,JAX,,DAL,L 17-31,2,1,9,9.00,0,0,0
11,2014,11,2014-11-23,23-011,JAX,@,IND,L 3-23,4,1,13,13.00,0,0,0
12,2014,12,2014-11-30,23-018,JAX,,NYG,W 25-24,8,4,42,10.50,0,0,0
13,2014,13,2014-12-07,23-025,JAX,,HOU,L 13-27,10,5,36,7.20,1,1,6
14,2014,14,2014-12-14,23-032,JAX,@,BAL,L 12-20,9,6,70,11.67,0,0,0
15,2014,15,2014-12-18,23-036,JAX,,TEN,W 21-13,6,3,26,8.67,0,0,0
16,2014,16,2014-12-28,23-046,JAX,@,HOU,L 17-23,4,2,15,7.50,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,2015,1,2015-09-13,23-305,JAX,,CAR,L 9-20,7,5,60,12.00,0,0,0
18,2015,2,2015-09-20,23-312,JAX,,MIA,W 23-20,4,4,68,17.00,0,0,0
19,2015,3,2015-09-27,23-319,JAX,@,NWE,L 17-51,4,2,70,35.00,1,1,6
20,2015,4,2015-10-04,23-326,JAX,@,IND,L 13-16,15,11,116,10.55,1,1,6
21,2015,5,2015-10-11,23-333,JAX,@,TAM,L 31-38,6,5,116,23.20,1,1,6
22,2015,6,2015-10-18,23-340,JAX,,HOU,L 20-31,7,2,30,15.00,1,1,6
23,2015,7,2015-10-25,23-347,JAX,,BUF,W 34-31,8,2,53,26.50,1,1,6
24,2015,8,2015-11-08,23-361,JAX,@,NYJ,L 23-28,8,5,122,24.40,1,1,6
25,2015,9,2015-11-15,24-003,JAX,@,BAL,W 22-20,9,5,62,12.40,1,1,6
26,2015,10,2015-11-19,24-007,JAX,,TEN,W 19-13,4,3,19,6.33,0,0,0
27,2015,11,2015-11-29,24-017,JAX,,SDG,L 25-31,9,4,42,10.50,0,0,0
,,,27 Games,,,,,7-20-0,178,99,1435,14.49,13,13,78
