
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,23-142,ARI,,NOR,W 31-19,3,0,0,,0,0,0,,0,2,15,7.50,0,0,0
2,2015,2,2015-09-20,23-149,ARI,@,CHI,W 48-23,1,0,0,,0,0,0,,0,1,0,0.00,0,0,0
3,2015,7,2015-10-26,23-185,ARI,,BAL,W 26-18,0,0,0,,0,0,0,,0,0,0,,0,0,0
4,2015,8,2015-11-01,23-191,ARI,@,CLE,W 34-20,4,3,70,23.33,0,1,0,0.00,0,0,0,,0,0,0
5,2015,10,2015-11-22,23-212,ARI,,CIN,W 34-31,6,4,142,35.50,1,0,0,,0,0,0,,0,1,6
6,2015,11,2015-11-29,23-219,ARI,@,SFO,W 19-13,5,2,53,26.50,0,0,0,,0,0,0,,0,0,0
,,,6 Games,,,,,6-0-0,19,9,265,29.44,1,1,0,0.00,0,3,15,5.00,0,,6
