
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,2012,13,2012-12-09,23-070,SFO,,MIA,W 27-13,,,,,,,,,
2,2012,14,2012-12-16,23-077,SFO,@,NWE,W 41-34,,,,,,,,,
3,2012,16,2012-12-30,23-091,SFO,,ARI,W 27-13,1,0,0,,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
4,2013,1,2013-09-08,23-343,KAN,@,JAX,W 28-2,,,,,,,,,
5,2013,2,2013-09-15,23-350,KAN,,DAL,W 17-16,,,,,,,,,
6,2013,3,2013-09-19,23-354,KAN,@,PHI,W 26-16,2,1,6,6.00,0,0,0,,0
7,2013,4,2013-09-29,23-364,KAN,,NYG,W 31-7,,,,,,,,,
8,2013,5,2013-10-06,24-006,KAN,@,TEN,W 26-17,1,0,0,,0,0,0,,0
9,2013,6,2013-10-13,24-013,KAN,,OAK,W 24-7,1,0,0,,0,0,0,,0
10,2013,7,2013-10-20,24-020,KAN,,HOU,W 17-16,,,,,,,,,
11,2013,8,2013-10-27,24-027,KAN,,CLE,W 23-17,,,,,,,,,
12,2013,9,2013-11-03,24-034,KAN,@,BUF,W 23-13,,,,,,,,,
13,2013,10,2013-11-17,24-048,KAN,@,DEN,L 17-27,,,,,,,,,
14,2013,11,2013-11-24,24-055,KAN,,SDG,L 38-41,1,1,22,22.00,0,0,0,,0
15,2013,12,2013-12-01,24-062,KAN,,DEN,L 28-35,4,3,35,11.67,0,0,0,,0
16,2013,13,2013-12-08,24-069,KAN,@,WAS,W 45-10,,,,,,,,,
17,2013,14,2013-12-15,24-076,KAN,@,OAK,W 56-31,1,0,0,,0,1,5,5.00,0
18,2013,15,2013-12-22,24-083,KAN,,IND,L 7-23,,,,,,,,,
19,2013,16,2013-12-29,24-090,KAN,@,SDG,L 24-27,7,3,67,22.33,0,1,1,1.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
20,2014,1,2014-09-07,24-342,KAN,,TEN,L 10-26,,,,,,,,,
21,2014,2,2014-09-14,24-349,KAN,@,DEN,L 17-24,3,3,16,5.33,0,0,0,,0
22,2014,3,2014-09-21,24-356,KAN,@,MIA,W 34-15,0,0,0,,0,1,0,0.00,0
23,2014,4,2014-09-29,24-364,KAN,,NWE,W 41-14,1,1,0,0.00,0,0,0,,0
24,2014,5,2014-10-05,25-005,KAN,@,SFO,L 17-22,2,1,3,3.00,0,1,-2,-2.00,0
25,2014,6,2014-10-19,25-019,KAN,@,SDG,W 23-20,2,2,37,18.50,0,0,0,,0
26,2014,7,2014-10-26,25-026,KAN,,STL,W 34-7,,,,,,,,,
27,2014,8,2014-11-02,25-033,KAN,,NYJ,W 24-10,3,1,10,10.00,0,0,0,,0
28,2014,9,2014-11-09,25-040,KAN,@,BUF,W 17-13,4,1,27,27.00,0,0,0,,0
,,,28 Games,,,,,20-8-0,33,17,223,13.12,0,4,4,1.00,0
