
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2013,6,2013-10-20,23-231,GNB,,CLE,W 31-13,2,1,9,9.00,0
2,2013,7,2013-10-27,23-238,GNB,@,MIN,W 44-31,7,5,35,7.00,0
3,2013,8,2013-11-04,23-246,GNB,,CHI,L 20-27,1,1,8,8.00,0
4,2013,9,2013-11-10,23-252,GNB,,PHI,L 13-27,1,1,9,9.00,0
5,2013,11,2013-11-24,23-266,GNB,,MIN,T 26-26,,,,,
6,2013,12,2013-11-28,23-270,GNB,@,DET,L 10-40,,,,,
7,2013,13,2013-12-08,23-280,GNB,,ATL,W 22-21,1,1,5,5.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
8,2015,5,2015-10-11,25-222,NYG,,SFO,W 30-27,4,0,0,,0
9,2015,6,2015-10-19,25-230,NYG,@,PHI,L 7-27,1,0,0,,0
10,2015,7,2015-10-25,25-236,NYG,,DAL,W 27-20,0,0,0,,0
11,2015,8,2015-11-01,25-243,NYG,@,NOR,L 49-52,1,1,8,8.00,0
12,2015,9,2015-11-08,25-250,NYG,@,TAM,W 32-18,1,1,3,3.00,0
13,2015,10,2015-11-15,25-257,NYG,,NWE,L 26-27,3,1,28,28.00,0
14,2015,11,2015-11-29,25-271,NYG,@,WAS,L 14-20,0,0,0,,0
,,,14 Games,,,,,6-7-1,22,12,105,8.75,0
