
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,22-350,SEA,@,STL,L 31-34,4,4,34,8.50,0,0,0,,0,2,56,28.00,0,2,63,31.50,1,1,6
2,2015,2,2015-09-20,22-357,SEA,@,GNB,L 17-27,2,2,17,8.50,0,0,0,,0,4,79,19.75,0,2,22,11.00,0,0,0
3,2015,3,2015-09-27,22-364,SEA,,CHI,W 26-0,1,0,0,,0,0,0,,0,1,105,105.00,1,3,9,3.00,0,1,6
4,2015,4,2015-10-05,23-007,SEA,,DET,W 13-10,5,4,58,14.50,0,1,1,1.00,0,2,30,15.00,0,5,42,8.40,0,0,0
5,2015,5,2015-10-11,23-013,SEA,@,CIN,L 24-27,5,2,29,14.50,0,0,0,,0,1,21,21.00,0,2,8,4.00,0,0,0
6,2015,6,2015-10-18,23-020,SEA,,CAR,L 23-27,2,0,0,,0,0,0,,0,2,27,13.50,0,4,28,7.00,0,0,0
7,2015,7,2015-10-22,23-024,SEA,@,SFO,W 20-3,5,5,79,15.80,1,0,0,,0,1,20,20.00,0,5,11,2.20,0,1,6
8,2015,8,2015-11-01,23-034,SEA,@,DAL,W 13-12,4,3,36,12.00,0,0,0,,0,1,18,18.00,0,1,12,12.00,0,0,0
9,2015,9,2015-11-15,23-048,SEA,,ARI,L 32-39,1,1,7,7.00,0,0,0,,0,5,104,20.80,0,1,0,0.00,0,0,0
10,2015,10,2015-11-22,23-055,SEA,,SFO,W 29-13,5,4,48,12.00,2,1,5,5.00,0,0,0,,0,4,1,0.25,0,2,12
11,2015,11,2015-11-29,23-062,SEA,,PIT,W 39-30,3,3,38,12.67,0,0,0,,0,5,148,29.60,0,0,0,,0,0,0
,,,11 Games,,,,,6-5-0,37,28,346,12.36,3,2,6,3.00,0,24,608,25.33,1,29,196,6.76,1,,30
