
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2014,4,2014-09-28,22-309,NYJ,,DET,L 17-24,0,0,,0,4,17,4.25,0
2,2014,5,2014-10-05,22-316,NYJ,@,SDG,L 0-31,0,0,,0,2,5,2.50,0
3,2014,6,2014-10-12,22-323,NYJ,,DEN,L 17-31,6,153,25.50,0,4,18,4.50,0
4,2014,7,2014-10-16,22-327,NYJ,@,NWE,L 25-27,2,80,40.00,0,2,8,4.00,0
,,,4 Games,,,,,0-4-0,8,233,29.13,0,12,48,4.00,0
