
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,3,2015-09-27,23-208,NYJ,,PHI,L 17-24,9,3,39,13.00,0,0,0,,0,0,0
2,2015,4,2015-10-04,23-215,NYJ,@,MIA,W 27-14,6,2,14,7.00,0,0,0,,0,0,0
3,2015,5,2015-10-18,23-229,NYJ,,WAS,W 34-20,0,0,0,,0,0,0,,0,0,0
4,2015,6,2015-10-25,23-236,NYJ,@,NWE,L 23-30,2,1,7,7.00,0,0,0,,0,0,0
5,2015,8,2015-11-08,23-250,NYJ,,JAX,W 28-23,0,0,0,,0,0,0,,0,0,0
6,2015,9,2015-11-12,23-254,NYJ,,BUF,L 17-22,1,1,22,22.00,0,1,21,21.00,0,0,0
7,2015,10,2015-11-22,23-264,NYJ,@,HOU,L 17-24,4,0,0,,0,0,0,,0,0,0
8,2015,11,2015-11-29,23-271,NYJ,,MIA,W 38-20,3,2,33,16.50,1,0,0,,0,1,6
,,,8 Games,,,,,4-4-0,25,9,115,12.78,1,1,21,21.00,0,,6
