
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2006,16,2006-12-31,23-334,ARI,@,SDG,L 20-27,4,4,31,7.75,0,0,0,,0,0,0,,0,0,0,,,,3,54,18.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
2,2007,9,2007-11-04,24-277,TAM,,ARI,W 17-10,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,57,28.50,0,0,0,,0,0,0,0.0,0,0
3,2007,10,2007-11-18,24-291,TAM,@,ATL,W 31-7,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
4,2007,11,2007-11-25,24-298,TAM,,WAS,W 19-13,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,47,23.50,0,0,0,,0,0,0,0.0,0,0
5,2007,13,2007-12-09,24-312,TAM,@,HOU,L 14-28,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,4,112,28.00,0,1,3,3.00,0,0,0,0.0,0,0
6,2007,14,2007-12-16,24-319,TAM,,ATL,W 37-3,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,98,49.00,1,0,0,,0,1,6,0.0,0,0
7,2007,15,2007-12-23,24-326,TAM,@,SFO,L 19-21,2,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,68,22.67,0,2,12,6.00,0,0,0,0.0,0,0
8,2007,16,2007-12-30,24-333,TAM,,CAR,L 23-31,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,41,20.50,0,1,15,15.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
9,2009,1,2009-09-13,26-225,SFO,@,ARI,W 20-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2009,2,2009-09-20,26-232,SFO,,SEA,W 23-10,0,0,0,,0,1,3,3.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2009,3,2009-09-27,26-239,SFO,@,MIN,L 24-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2009,5,2009-10-11,26-253,SFO,,ATL,L 10-45,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,1
13,2009,15,2009-12-27,26-330,TAM,@,NOR,W 20-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,5,116,23.20,0,2,80,40.00,1,1,6,0.0,0,0
14,2009,16,2010-01-03,26-337,TAM,,ATL,L 10-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,54,18.00,0,1,10,10.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2010,1,2010-09-12,27-224,TAM,,CLE,W 17-14,4,2,49,24.50,1,0,0,,0,0,0,,0,0,0,,,,2,50,25.00,0,4,24,6.00,0,1,6,0.0,0,0
16,2010,2,2010-09-19,27-231,TAM,@,CAR,W 20-7,0,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,18,18.00,0,2,21,10.50,0,0,0,0.0,0,0
17,2010,3,2010-09-26,27-238,TAM,,PIT,L 13-38,2,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,,,4,81,20.25,0,0,0,,0,0,0,0.0,0,0
18,2010,4,2010-10-10,27-252,TAM,@,CIN,W 24-21,3,3,35,11.67,0,0,0,,0,0,0,,0,0,0,,,,4,80,20.00,0,2,17,8.50,0,0,0,0.0,0,0
19,2010,5,2010-10-17,27-259,TAM,,NOR,L 6-31,3,2,0,0.00,1,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,,0,1,6,0.0,0,0
20,2010,6,2010-10-24,27-266,TAM,,STL,W 18-17,5,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,3,80,26.67,0,2,11,5.50,0,0,0,0.0,0,0
21,2010,7,2010-10-31,27-273,TAM,@,ARI,W 38-35,3,3,60,20.00,0,0,0,,0,0,0,,0,0,0,,,,2,37,18.50,0,0,0,,0,0,0,0.0,0,0
22,2010,8,2010-11-07,27-280,TAM,@,ATL,L 21-27,2,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,,,4,209,52.25,1,0,0,,0,1,6,0.0,0,0
23,2010,9,2010-11-14,27-287,TAM,,CAR,W 31-16,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,4,61,15.25,0,2,5,2.50,0,0,0,0.0,0,0
24,2010,10,2010-11-21,27-294,TAM,@,SFO,W 21-0,0,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,14,14.00,0,3,27,9.00,0,0,0,0.0,0,0
25,2010,11,2010-11-28,27-301,TAM,@,BAL,L 10-17,3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,,,2,60,30.00,0,3,15,5.00,0,0,0,0.0,0,0
26,2010,12,2010-12-05,27-308,TAM,,ATL,L 24-28,3,0,0,,0,0,0,,0,0,0,,0,0,0,,,,5,119,23.80,0,3,13,4.33,0,0,0,0.0,0,0
27,2010,13,2010-12-12,27-315,TAM,@,WAS,W 17-16,2,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,39,19.50,0,2,19,9.50,0,0,0,0.0,0,0
28,2010,14,2010-12-19,27-322,TAM,,DET,L 20-23,1,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,,,3,51,17.00,0,3,31,10.33,0,0,0,0.0,0,0
29,2010,15,2010-12-26,27-329,TAM,,SEA,W 38-15,1,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,,,3,99,33.00,0,1,6,6.00,0,0,0,0.0,0,0
30,2010,16,2011-01-02,27-336,TAM,@,NOR,W 23-13,0,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,3,108,36.00,0,1,4,4.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
31,2011,1,2011-09-11,28-223,TAM,,DET,L 20-27,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,-2,-2.00,0,0,0,0.0,0,0
32,2011,2,2011-09-18,28-230,TAM,@,MIN,W 24-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0,,0,0,0,0.0,0,0
33,2011,3,2011-09-25,28-237,TAM,,ATL,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2011,4,2011-10-03,28-245,TAM,,IND,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2011,5,2011-10-09,28-251,TAM,@,SFO,L 3-48,2,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2011,6,2011-10-16,28-258,TAM,,NOR,W 26-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2011,7,2011-10-23,28-265,TAM,,CHI,L 18-24,0,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2011,8,2011-11-06,28-279,TAM,@,NOR,L 16-27,1,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2011,13,2011-12-11,28-314,TAM,@,JAX,L 14-41,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,1,1.00,0,0,0,0.0,0,0
40,2011,14,2011-12-17,28-320,TAM,,DAL,L 15-31,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,-2,-2.00,0,0,0,0.0,0,0
41,2011,15,2011-12-24,28-327,TAM,@,CAR,L 16-48,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
42,2011,16,2012-01-01,28-335,TAM,@,ATL,L 24-45,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,12,12.00,0,2,15,7.50,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
43,2012,1,2012-09-10,29-223,SDG,@,OAK,W 22-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2012,2,2012-09-16,29-229,SDG,,TEN,W 38-10,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
45,2012,3,2012-09-23,29-236,SDG,,ATL,L 3-27,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0
46,2012,4,2012-09-30,29-243,SDG,@,KAN,W 37-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2012,6,2012-10-21,29-264,JAX,@,OAK,L 23-26,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,40,20.00,0,4,44,11.00,0,0,0,0.0,0,0
48,2012,7,2012-10-28,29-271,JAX,@,GNB,L 15-24,2,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,,,2,35,17.50,0,1,0,0.00,0,0,0,0.0,0,0
49,2012,8,2012-11-04,29-278,JAX,,DET,L 14-31,5,5,35,7.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,1,6,0.0,0,0
50,2012,9,2012-11-08,29-282,JAX,,IND,L 10-27,6,6,61,10.17,0,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0,,0,0,0,0.0,0,0
51,2012,10,2012-11-18,29-292,JAX,@,HOU,L 37-43,5,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2012,11,2012-11-25,29-299,JAX,,TEN,W 24-19,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
53,2012,13,2012-12-09,29-313,SDG,@,PIT,W 34-24,7,7,64,9.14,0,0,0,,0,0,0,,0,0,0,,,,2,25,12.50,0,3,35,11.67,0,0,0,0.0,0,0
54,2012,14,2012-12-16,29-320,SDG,,CAR,L 7-31,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,,,2,49,24.50,0,1,23,23.00,0,0,0,0.0,0,0
55,2012,15,2012-12-23,29-327,SDG,@,NYJ,W 27-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,4,66,16.50,0,4,107,26.75,1,0,6,0.0,0,0
56,2012,16,2012-12-30,29-334,SDG,,OAK,W 24-21,2,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,,,2,117,58.50,1,2,15,7.50,0,0,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
57,2013,1,2013-09-08,30-220,DET,,MIN,W 34-24,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,37,7.40,0,0,0,0.0,0,0
58,2013,2,2013-09-15,30-227,DET,@,ARI,L 21-25,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,3,2,0.67,0,0,0,0.0,0,0
59,2013,3,2013-09-22,30-234,DET,@,WAS,W 27-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,15,15.00,0,2,9,4.50,0,0,0,0.0,0,0
60,2013,4,2013-09-29,30-241,DET,,CHI,W 40-32,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,62,20.67,0,1,57,57.00,0,0,0,0.0,0,0
61,2013,5,2013-10-06,30-248,DET,@,GNB,L 9-22,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0,,0,0,0,0.0,0,0
62,2013,6,2013-10-13,30-255,DET,@,CLE,W 31-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,22,4.40,0,0,0,0.0,0,0
63,2013,7,2013-10-20,30-262,DET,,CIN,L 24-27,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,35,35.00,0,2,1,0.50,0,0,0,0.0,0,0
64,2013,9,2013-11-10,30-283,DET,@,CHI,W 21-19,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,71,23.67,0,0,0,,0,0,0,0.0,0,0
65,2013,10,2013-11-17,30-290,DET,@,PIT,L 27-37,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,4,92,23.00,0,4,17,4.25,0,0,0,0.0,1,0
66,2013,15,2013-12-22,30-325,DAL,@,WAS,W 24-23,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,3,51,17.00,0,1,62,62.00,0,0,0,0.0,1,0
67,2013,16,2013-12-29,30-332,DET,@,MIN,L 13-14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
68,2014,1,2014-09-07,31-219,CHI,,BUF,L 20-23,3,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,68 Games,,,,,34-34-0,77,47,502,10.68,3,1,3,3.00,0,0,5,0.00,0,0,0,39.6,0.00,0.00,107,2594,24.24,3,81,780,9.63,2,6,48,0.0,2,1
