
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2015,9,2015-11-09,24-133,SDG,,CHI,L 19-22,2,1,12,12.00,0,1,24,24.00,0,0,0,,0
2,2015,10,2015-11-22,24-146,SDG,,KAN,L 3-33,7,5,37,7.40,0,1,18,18.00,0,1,0,0.00,0
3,2015,11,2015-11-29,24-153,SDG,@,JAX,W 31-25,0,0,0,,0,1,13,13.00,0,2,33,16.50,0
,,,3 Games,,,,,1-2-0,9,6,49,8.17,0,3,55,18.33,0,3,33,11.00,0
