
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2014,6,2014-10-19,25-026,SEA,@,STL,L 26-28,1,1,4,4.00,0,0.0,1,0
2,2014,7,2014-10-26,25-033,SEA,@,CAR,W 13-9,2,2,13,6.50,0,0.0,0,0
3,2014,8,2014-11-02,25-040,SEA,,OAK,W 30-24,1,1,19,19.00,0,0.0,0,0
4,2014,9,2014-11-09,25-047,SEA,,NYG,W 38-17,,,,,,,,
5,2014,10,2014-11-16,25-054,SEA,@,KAN,L 20-24,,,,,,,,
6,2014,11,2014-11-23,25-061,SEA,,ARI,W 19-3,2,1,10,10.00,0,0.0,0,0
7,2014,12,2014-11-27,25-065,SEA,@,SFO,W 19-3,,,,,,,,
8,2014,13,2014-12-07,25-075,SEA,@,PHI,W 24-14,2,2,22,11.00,0,0.0,0,0
9,2014,16,2014-12-28,25-096,SEA,,STL,W 20-6,2,2,34,17.00,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
10,2015,2,2015-09-20,25-362,CAR,,HOU,W 24-17,1,0,0,,0,0.0,0,0
,,,10 Games,,,,,8-2-0,11,9,102,11.33,0,0.0,2,0
