
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Tkl,Ast
1,2014,1,2014-09-07,21-342,NYJ,,OAK,W 19-14,0,0,0,,0,0,0,,0,2,15,7.50,0,0.0,0,0
2,2014,2,2014-09-14,21-349,NYJ,@,GNB,L 24-31,0,0,0,,0,0,0,,0,3,11,3.67,0,0.0,0,0
3,2014,3,2014-09-22,21-357,NYJ,,CHI,L 19-27,0,0,0,,0,0,0,,0,1,0,0.00,0,0.0,1,0
4,2014,11,2014-11-24,22-055,NOR,,BAL,L 27-34,0,0,0,,0,0,0,,0,1,7,7.00,0,0.0,0,0
5,2014,12,2014-11-30,22-061,NOR,@,PIT,W 35-32,,,,,,,,,,,,,,,,
6,2014,13,2014-12-07,22-068,NOR,,CAR,L 10-41,0,0,0,,0,0,0,,0,3,68,22.67,0,0.0,0,0
7,2014,14,2014-12-15,22-076,NOR,@,CHI,W 31-15,0,0,0,,0,0,0,,0,3,21,7.00,0,0.0,0,0
8,2014,15,2014-12-21,22-082,NOR,,ATL,L 14-30,1,1,7,7.00,0,2,120,60.00,0,1,0,0.00,0,0.0,0,0
9,2014,16,2014-12-28,22-089,NOR,@,TAM,W 23-20,0,0,0,,0,1,19,19.00,0,1,3,3.00,0,0.0,0,0
,,,9 Games,,,,,4-5-0,1,1,7,7.00,0,3,139,46.33,0,15,125,8.33,0,0.0,1,0
