
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2012,1,2012-09-10,23-209,BAL,,CIN,W 44-13,2,1,25,25.00,0,4,88,22.00,0
2,2012,2,2012-09-16,23-215,BAL,@,PHI,L 23-24,0,0,0,,0,3,100,33.33,0
3,2012,3,2012-09-23,23-222,BAL,,NWE,W 31-30,0,0,0,,0,3,81,27.00,0
4,2012,4,2012-09-27,23-226,BAL,,CLE,W 23-16,0,0,0,,0,3,68,22.67,0
5,2012,5,2012-10-07,23-236,BAL,@,KAN,W 9-6,0,0,0,,0,2,52,26.00,0
6,2012,16,2012-12-30,23-320,BAL,@,CIN,L 17-23,4,4,26,6.50,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,2013,4,2013-09-29,24-227,BAL,@,BUF,L 20-23,5,4,50,12.50,0,3,73,24.33,0
8,2013,5,2013-10-06,24-234,BAL,@,MIA,W 26-23,7,2,11,5.50,0,4,128,32.00,0
9,2013,6,2013-10-13,24-241,BAL,,GNB,L 17-19,,,,,,,,,
10,2013,7,2013-10-20,24-248,BAL,@,PIT,L 16-19,,,,,,,,,
11,2013,8,2013-11-03,24-262,BAL,@,CLE,L 18-24,4,3,24,8.00,0,0,0,,0
12,2013,9,2013-11-10,24-269,BAL,,CIN,W 20-17,1,0,0,,0,0,0,,0
13,2013,10,2013-11-17,24-276,BAL,@,CHI,L 20-23,3,1,11,11.00,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
14,2014,16,2014-12-28,25-317,BUF,@,NWE,W 17-9,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
15,2015,10,2015-11-22,26-281,CHI,,DEN,L 15-17,0,0,0,,0,2,54,27.00,0
16,2015,11,2015-11-26,26-285,CHI,@,GNB,W 17-13,0,0,0,,0,1,37,37.00,0
,,,16 Games,,,,,8-8-0,26,15,147,9.80,0,25,681,27.24,0
