
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,5,2013-10-07,24-056,NYJ,@,ATL,W 30-28
2,2013,6,2013-10-13,24-062,NYJ,,PIT,L 6-19
3,2013,7,2013-10-20,24-069,NYJ,,NWE,W 30-27
4,2013,8,2013-10-27,24-076,NYJ,@,CIN,L 9-49
,,,4 Games,,,,,2-2-0
