
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,22-232,TAM,,TEN,L 14-42,4,2,14,7.00,0
2,2015,2,2015-09-20,22-239,TAM,@,NOR,W 26-19,0,0,0,,0
3,2015,4,2015-10-04,22-253,TAM,,CAR,L 23-37,0,0,0,,0
4,2015,7,2015-11-01,22-281,TAM,@,ATL,W 23-20,6,3,14,4.67,0
5,2015,8,2015-11-08,22-288,TAM,,NYG,L 18-32,5,5,55,11.00,0
6,2015,9,2015-11-15,22-295,TAM,,DAL,W 10-6,3,2,25,12.50,0
7,2015,10,2015-11-22,22-302,TAM,@,PHI,W 45-17,5,4,50,12.50,0
8,2015,11,2015-11-29,22-309,TAM,@,IND,L 12-25,3,2,20,10.00,0
,,,8 Games,,,,,4-4-0,26,18,178,9.89,0
