
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,TD,Pts,Sk,Tkl,Ast
1,2004,1,2004-09-11,23-133,MIA,,TEN,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2004,1,2004-09-12,23-134,SDG,@,HOU,W 27-20,0,0,0,,0,0,0,,0,4,102,25.50,0,0,0,,0,,,,,,,,0,0,0.0,0,0
3,2004,2,2004-09-19,23-141,MIA,@,CIN,L 13-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,3,2004-09-26,23-148,MIA,,PIT,L 3-13,0,0,0,,0,0,0,,0,3,66,22.00,0,2,20,10.00,0,,,,,,,,0,0,0.0,0,0
5,2004,4,2004-10-03,23-155,MIA,,NYJ,L 9-17,0,0,0,,0,0,0,,0,4,90,22.50,0,1,8,8.00,0,,,,,,,,0,0,0.0,0,0
6,2004,5,2004-10-10,23-162,MIA,@,NWE,L 10-24,0,0,0,,0,0,0,,0,5,101,20.20,0,5,41,8.20,0,1,1,100.0,1,1,100.0,,0,4,0.0,0,0
7,2004,6,2004-10-17,23-169,MIA,@,BUF,L 13-20,0,0,0,,0,0,0,,0,4,80,20.00,0,1,5,5.00,0,,,,,,,,0,0,0.0,0,0
8,2004,7,2004-10-24,23-176,MIA,,STL,W 31-14,0,0,0,,0,0,0,,0,3,40,13.33,0,4,31,7.75,0,,,,,,,,0,0,0.0,0,0
9,2004,8,2004-11-01,23-184,MIA,@,NYJ,L 14-41,0,0,0,,0,0,0,,0,6,117,19.50,0,2,9,4.50,0,,,,,,,,0,0,0.0,0,0
10,2004,9,2004-11-07,23-190,MIA,,ARI,L 23-24,0,0,0,,0,0,0,,0,2,45,22.50,0,4,33,8.25,0,,,,,,,,0,0,0.0,0,0
11,2004,10,2004-11-21,23-204,MIA,@,SEA,L 17-24,0,0,0,,0,0,0,,0,4,91,22.75,0,3,33,11.00,0,,,,,,,,0,0,0.0,0,0
12,2004,11,2004-11-28,23-211,MIA,@,SFO,W 24-17,0,0,0,,0,0,0,,0,2,31,15.50,0,5,72,14.40,0,,,,,,,,0,0,0.0,0,0
13,2004,12,2004-12-05,23-218,MIA,,BUF,L 32-42,0,0,0,,0,0,0,,0,6,158,26.33,0,6,51,8.50,0,,,,,,,,0,0,0.0,0,0
14,2004,13,2004-12-12,23-225,MIA,@,DEN,L 17-20,0,0,0,,0,0,0,,0,4,97,24.25,0,2,9,4.50,0,,,,,,,,0,0,0.0,0,0
15,2004,14,2004-12-20,23-233,MIA,,NWE,W 29-28,0,0,0,,0,0,0,,0,5,139,27.80,0,2,87,43.50,0,,,,,,,,0,0,0.0,0,0
16,2004,15,2004-12-26,23-239,MIA,,CLE,W 10-7,0,0,0,,0,0,0,,0,2,48,24.00,0,3,37,12.33,0,,,,,,,,0,0,0.0,0,0
17,2004,16,2005-01-02,23-246,MIA,@,BAL,L 23-30,0,0,0,,0,0,0,,0,7,210,30.00,1,3,28,9.33,0,,,,,,,,1,6,0.0,0,0
