
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2014,1,2014-09-07,23-029,PIT,,CLE,W 30-27,1,4,4.00,0,1,0,0,,0,2,29,14.50,0,0,0,,0
2,2014,4,2014-09-28,23-050,PIT,,TAM,L 24-27,0,0,,0,1,1,1,1.00,0,0,0,,0,0,0,,0
3,2014,5,2014-10-05,23-057,PIT,@,JAX,W 17-9,1,2,2.00,0,2,2,8,4.00,0,2,36,18.00,0,0,0,,0
4,2014,6,2014-10-12,23-064,PIT,@,CLE,L 10-31,3,24,8.00,0,1,1,0,0.00,0,3,64,21.33,0,1,2,2.00,0
5,2014,7,2014-10-20,23-072,PIT,,HOU,W 30-23,2,7,3.50,0,0,0,0,,0,2,32,16.00,0,0,0,,0
6,2014,8,2014-10-26,23-078,PIT,,IND,W 51-34,0,0,,0,1,0,0,,0,0,0,,0,0,0,,0
7,2014,9,2014-11-02,23-085,PIT,,BAL,W 43-23,1,4,4.00,0,1,0,0,,0,0,0,,0,0,0,,0
8,2014,10,2014-11-09,23-092,PIT,@,NYJ,L 13-20,,,,,,,,,,,,,,,,,
9,2014,11,2014-11-17,23-100,PIT,@,TEN,W 27-24,0,0,,0,1,1,-5,-5.00,0,0,0,,0,0,0,,0
10,2014,12,2014-11-30,23-113,PIT,,NOR,L 32-35,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,0
11,2014,15,2014-12-21,23-134,PIT,,KAN,W 20-12,,,,,,,,,,,,,,,,,
12,2014,16,2014-12-28,23-141,PIT,,CIN,W 27-17,1,-1,-1.00,0,2,2,19,9.50,0,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
13,2015,1,2015-09-10,24-032,PIT,@,NWE,L 21-28,0,0,,0,0,0,0,,0,1,22,22.00,0,0,0,,0
14,2015,2,2015-09-20,24-042,PIT,,SFO,W 43-18,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
15,2015,3,2015-09-27,24-049,PIT,@,STL,W 12-6,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0
16,2015,4,2015-10-01,24-053,PIT,,BAL,L 20-23,0,0,,0,0,0,0,,0,1,31,31.00,0,0,0,,0
17,2015,5,2015-10-12,24-064,PIT,@,SDG,W 24-20,0,0,,0,0,0,0,,0,2,62,31.00,0,0,0,,0
18,2015,6,2015-10-18,24-070,PIT,,ARI,W 25-13,0,0,,0,0,0,0,,0,4,89,22.25,0,0,0,,0
19,2015,7,2015-10-25,24-077,PIT,@,KAN,L 13-23,0,0,,0,0,0,0,,0,4,116,29.00,0,0,0,,0
20,2015,8,2015-11-01,24-084,PIT,,CIN,L 10-16,0,0,,0,0,0,0,,0,2,34,17.00,0,0,0,,0
,,,20 Games,,,,,12-8-0,10,40,4.00,0,10,7,23,3.29,0,23,515,22.39,0,1,2,2.00,0
