
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2010,1,2010-09-12,21-312,DAL,@,WAS,L 7-13,13,8,56,7.00,0,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
2,2010,2,2010-09-19,21-319,DAL,,CHI,L 20-27,2,2,52,26.00,0,0,0,,0,0,0,,0,3,66,22.00,1,,1,6,0.0,0,0
3,2010,3,2010-09-26,21-326,DAL,@,HOU,W 27-13,6,4,50,12.50,0,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
4,2010,4,2010-10-10,21-340,DAL,,TEN,L 27-34,6,3,22,7.33,0,0,0,,0,0,0,,0,3,1,0.33,0,,0,0,0.0,0,0
5,2010,5,2010-10-17,21-347,DAL,@,MIN,L 21-24,2,1,31,31.00,1,0,0,,0,0,0,,0,2,3,1.50,0,,1,6,0.0,0,0
6,2010,6,2010-10-25,21-355,DAL,,NYG,L 35-41,7,4,54,13.50,2,0,0,,0,2,25,12.50,0,1,93,93.00,1,,3,18,0.0,0,0
7,2010,7,2010-10-31,21-361,DAL,,JAX,L 17-35,9,7,84,12.00,0,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
8,2010,8,2010-11-07,22-003,DAL,@,GNB,L 7-45,10,9,86,9.56,1,0,0,,0,0,0,,0,2,4,2.00,0,,1,6,0.0,0,0
