
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2015,1,2015-09-13,21-115,CAR,@,JAX,W 20-9,2,1,9,9.00,0,0,0
2,2015,2,2015-09-20,21-122,CAR,,HOU,W 24-17,4,1,15,15.00,0,0,0
3,2015,3,2015-09-27,21-129,CAR,,NOR,W 27-22,4,1,14,14.00,0,0,0
4,2015,4,2015-10-04,21-136,CAR,@,TAM,W 37-23,2,0,0,,0,0,0
5,2015,5,2015-10-18,21-150,CAR,@,SEA,W 27-23,6,2,24,12.00,0,0,0
6,2015,6,2015-10-25,21-157,CAR,,PHI,W 27-16,2,1,20,20.00,0,0,0
7,2015,7,2015-11-02,21-165,CAR,,IND,W 29-26,1,1,8,8.00,0,0,0
8,2015,8,2015-11-08,21-171,CAR,,GNB,W 37-29,4,3,71,23.67,1,1,6
9,2015,9,2015-11-15,21-178,CAR,@,TEN,W 27-10,2,2,41,20.50,0,0,0
10,2015,10,2015-11-22,21-185,CAR,,WAS,W 44-16,8,4,64,16.00,1,1,6
11,2015,11,2015-11-26,21-189,CAR,@,DAL,W 33-14,4,2,19,9.50,0,0,0
,,,11 Games,,,,,11-0-0,39,18,285,15.83,2,,12
