
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2014,6,2014-10-12,24-231,GNB,@,MIA,W 27-24,,,,,,,,
2,2014,7,2014-10-19,24-238,GNB,,CAR,W 38-17,2,1,4,4.00,0,0.0,1,1
3,2014,8,2014-10-26,24-245,GNB,@,NOR,L 23-44,,,,,,,,
,,,3 Games,,,,,2-1-0,2,1,4,4.00,0,0.0,1,1
