
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2012,10,2012-11-18,24-138,IND,@,NWE,L 24-59,,,,,,,,
2,2012,11,2012-11-25,24-145,IND,,BUF,W 20-13,,,,,,,,
3,2012,12,2012-12-02,24-152,IND,@,DET,W 35-33,,,,,,,,
4,2012,13,2012-12-09,24-159,IND,,TEN,W 27-23,,,,,,,,
5,2012,14,2012-12-16,24-166,IND,@,HOU,L 17-29,0,,,,,,,
6,2012,15,2012-12-23,24-173,IND,@,KAN,W 20-13,,,,,,,,
7,2012,16,2012-12-30,24-180,IND,,HOU,W 28-16,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
8,2013,8,2013-10-27,25-116,ARI,,ATL,W 27-13,1,1,51,51.00,0,0.0,0,0
9,2013,9,2013-11-10,25-130,ARI,,HOU,W 27-24,,0,0,,0,0.0,0,1
10,2013,10,2013-11-17,25-137,ARI,@,JAX,W 27-14,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
11,2014,5,2014-10-05,26-094,CHI,@,CAR,L 24-31,0,,,,,,,
12,2014,6,2014-10-12,26-101,CHI,@,ATL,W 27-13,0,0,0,,0,0.0,1,0
13,2014,7,2014-10-19,26-108,CHI,,MIA,L 14-27,0,0,0,,0,0.0,1,0
14,2014,8,2014-10-26,26-115,CHI,@,NWE,L 23-51,,,,,,,,
15,2014,9,2014-11-09,26-129,CHI,@,GNB,L 14-55,0,,,,,,,
16,2014,13,2014-12-07,26-157,JAX,,HOU,L 13-27,,,,,,,,
17,2014,16,2014-12-28,26-178,JAX,@,HOU,L 17-23,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
18,2015,1,2015-09-13,27-072,CAR,@,JAX,W 20-9,0,0,0,,0,0.0,0,0
19,2015,2,2015-09-20,27-079,CAR,,HOU,W 24-17,0,0,0,,0,0.0,0,0
20,2015,3,2015-09-27,27-086,CAR,,NOR,W 27-22,0,0,0,,0,0.0,0,0
21,2015,4,2015-10-04,27-093,CAR,@,TAM,W 37-23,0,0,0,,0,0.0,1,1
22,2015,5,2015-10-18,27-107,CAR,@,SEA,W 27-23,0,0,0,,0,0.0,0,0
23,2015,6,2015-10-25,27-114,CAR,,PHI,W 27-16,0,0,0,,0,0.0,0,0
24,2015,7,2015-11-02,27-122,CAR,,IND,W 29-26,0,0,0,,0,0.0,0,0
25,2015,8,2015-11-08,27-128,CAR,,GNB,W 37-29,0,0,0,,0,0.0,0,0
26,2015,9,2015-11-15,27-135,CAR,@,TEN,W 27-10,0,0,0,,0,0.0,0,0
27,2015,10,2015-11-22,27-142,CAR,,WAS,W 44-16,0,0,0,,0,0.0,0,0
28,2015,11,2015-11-26,27-146,CAR,@,DAL,W 33-14,0,0,0,,0,0.0,0,0
,,,28 Games,,,,,20-8-0,1,1,51,51.00,0,0.0,3,2
