
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2012,1,2012-09-09,23-263,JAX,@,MIN,L 23-26,,,,,
2,2012,2,2012-09-16,23-270,JAX,,HOU,L 7-27,,,,,
3,2012,3,2012-09-23,23-277,JAX,@,IND,W 22-17,4,2,24,12.00,0
4,2012,4,2012-09-30,23-284,JAX,,CIN,L 10-27,3,1,5,5.00,0
5,2012,5,2012-10-07,23-291,JAX,,CHI,L 3-41,3,2,17,8.50,0
6,2012,6,2012-10-21,23-305,JAX,@,OAK,L 23-26,1,0,0,,0
7,2012,7,2012-10-28,23-312,JAX,@,GNB,L 15-24,2,0,0,,0
8,2012,8,2012-11-04,23-319,JAX,,DET,L 14-31,,,,,
9,2012,9,2012-11-08,23-323,JAX,,IND,L 10-27,,,,,
10,2012,10,2012-11-18,23-333,JAX,@,HOU,L 37-43,,0,0,,0
11,2012,11,2012-11-25,23-340,JAX,,TEN,W 24-19,2,0,0,,0
12,2012,12,2012-12-02,23-347,JAX,@,BUF,L 18-34,6,2,24,12.00,0
13,2012,13,2012-12-09,23-354,JAX,,NYJ,L 10-17,10,3,38,12.67,0
,,,13 Games,,,,,2-11-0,31,10,108,10.80,0
