
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,2,2014-09-14,25-226,SDG,,SEA,W 30-21,,,,,,,
2,2014,4,2014-09-28,25-240,SDG,,JAX,W 33-14,,,,,,,
3,2014,6,2014-10-12,25-254,SDG,@,OAK,W 31-28,,,,,,,
4,2014,8,2014-10-23,25-265,SDG,@,DEN,L 21-35,,,,,,,
5,2014,9,2014-11-02,25-275,SDG,@,MIA,L 0-37,,,,,,,
6,2014,15,2014-12-20,25-323,SDG,@,SFO,W 38-35,9,7,79,11.29,0,0,0
7,2014,16,2014-12-28,25-331,SDG,@,KAN,L 7-19,8,5,79,15.80,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
8,2015,2,2015-09-20,26-232,SDG,@,CIN,L 19-24,0,0,0,,0,0,0
9,2015,3,2015-09-27,26-239,SDG,@,MIN,L 14-31,0,0,0,,0,0,0
10,2015,4,2015-10-04,26-246,SDG,,CLE,W 30-27,5,3,88,29.33,0,0,0
11,2015,5,2015-10-12,26-254,SDG,,PIT,L 20-24,2,0,0,,0,0,0
12,2015,6,2015-10-18,26-260,SDG,@,GNB,L 20-27,7,3,18,6.00,1,1,6
13,2015,7,2015-10-25,26-267,SDG,,OAK,L 29-37,2,2,26,13.00,0,0,0
14,2015,8,2015-11-01,26-274,SDG,@,BAL,L 26-29,2,1,10,10.00,0,0,0
15,2015,9,2015-11-09,26-282,SDG,,CHI,L 19-22,5,3,28,9.33,0,0,0
16,2015,10,2015-11-22,26-295,SDG,,KAN,L 3-33,5,3,51,17.00,0,0,0
17,2015,11,2015-11-29,26-302,SDG,@,JAX,W 31-25,9,5,65,13.00,1,1,6
,,,17 Games,,,,,6-11-0,54,32,444,13.88,2,2,12
