
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,24-095,DEN,,BAL,W 19-13,0,0,0,,0
2,2015,2,2015-09-17,24-099,DEN,@,KAN,W 31-24,0,0,0,,0
3,2015,3,2015-09-27,24-109,DEN,@,DET,W 24-12,4,4,50,12.50,0
4,2015,4,2015-10-04,24-116,DEN,,MIN,W 23-20,1,1,11,11.00,0
5,2015,5,2015-10-11,24-123,DEN,@,OAK,W 16-10,2,2,46,23.00,0
6,2015,6,2015-10-18,24-130,DEN,@,CLE,W 26-23,1,0,0,,0
7,2015,7,2015-11-01,24-144,DEN,,GNB,W 29-10,2,2,21,10.50,0
8,2015,8,2015-11-08,24-151,DEN,@,IND,L 24-27,4,2,22,11.00,0
9,2015,9,2015-11-15,24-158,DEN,,KAN,L 13-29,3,1,17,17.00,0
10,2015,10,2015-11-22,24-165,DEN,@,CHI,W 17-15,0,0,0,,0
11,2015,11,2015-11-29,24-172,DEN,,NWE,W 30-24,2,1,8,8.00,0
,,,11 Games,,,,,9-2-0,19,13,175,13.46,0
