
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,2015,3,2015-09-27,24-344,JAX,@,NWE,L 17-51,0,0,,0
2,2015,4,2015-10-04,24-351,JAX,@,IND,L 13-16,1,8,8.00,0
3,2015,5,2015-10-11,24-358,JAX,@,TAM,L 31-38,0,0,,0
4,2015,6,2015-10-18,25-000,JAX,,HOU,L 20-31,0,0,,0
,,,4 Games,,,,,0-4-0,1,8,8.00,0
