
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-08,21-301,JAX,,KAN,L 2-28,9,3,14,4.67,0,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
2,2013,2,2013-09-15,21-308,JAX,@,OAK,L 9-19,7,5,64,12.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,1,0
3,2013,3,2013-09-22,21-315,JAX,@,SEA,L 17-45,3,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2013,4,2013-09-29,21-322,JAX,,IND,L 3-37,8,4,59,14.75,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
5,2013,5,2013-10-06,21-329,JAX,@,STL,L 20-34,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,5,1.25,0,0,0,0.0,0,0
6,2013,6,2013-10-13,21-336,JAX,@,DEN,L 19-35,3,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,2,1.00,0,0,0,0.0,1,0
7,2013,8,2013-10-27,21-350,JAX,,SFO,L 10-42,1,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,16,16.00,0,0,0,0.0,0,0
8,2013,9,2013-11-10,21-364,JAX,@,TEN,W 29-27,1,0,0,,0,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,2,6,3.00,0,0,0,0.0,0,0
9,2013,10,2013-11-17,22-006,JAX,,ARI,L 14-27,10,8,61,7.63,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,6,48,8.00,0,0,0,0.0,0,0
10,2013,11,2013-11-24,22-013,JAX,@,HOU,W 13-6,5,4,61,15.25,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,14,4.67,0,0,0,0.0,0,0
11,2013,12,2013-12-01,22-020,JAX,@,CLE,W 32-28,11,8,67,8.38,0,1,4,4.00,0,0,0,,0,0,0,,,,1,31,31.00,0,0,0,,0,0,0,0.0,0,0
12,2013,13,2013-12-05,22-024,JAX,,HOU,W 27-20,6,3,26,8.67,0,1,0,0.00,0,1,1,100.00,21,1,0,158.3,21.00,41.00,0,0,,0,2,25,12.50,0,0,0,0.0,0,0
13,2013,14,2013-12-15,22-034,JAX,,BUF,L 20-27,3,2,17,8.50,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,10,3.33,0,1,6,0.0,0,0
14,2013,15,2013-12-22,22-041,JAX,,TEN,L 16-20,5,4,20,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
15,2013,16,2013-12-29,22-048,JAX,@,IND,L 10-30,14,6,50,8.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
