
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2007,1,2007-09-09,23-060,HOU,,KAN,W 20-3,3,2,33,16.50,0,1,4,4.00,0,0,0,,0,4,14,3.50,0,,0,0,0.0,0,0
2,2007,2,2007-09-16,23-067,HOU,@,CAR,W 34-21,1,0,0,,0,0,0,,0,0,0,,0,2,32,16.00,0,,0,0,0.0,0,0
3,2007,3,2007-09-23,23-074,HOU,,IND,L 24-30,4,3,26,8.67,0,1,3,3.00,0,0,0,,0,2,86,43.00,0,,0,0,0.0,0,0
4,2007,6,2007-10-14,23-095,HOU,@,JAX,L 17-37,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2007,7,2007-10-21,23-102,HOU,,TEN,L 36-38,3,3,11,3.67,0,0,0,,0,2,41,20.50,0,1,5,5.00,0,,0,0,0.0,0,0
6,2007,8,2007-10-28,23-109,HOU,@,SDG,L 10-35,6,5,51,10.20,0,0,0,,0,1,19,19.00,0,3,13,4.33,0,,0,0,0.0,0,0
7,2007,9,2007-11-04,23-116,HOU,@,OAK,W 24-17,2,0,0,,0,0,0,,0,0,0,,0,2,22,11.00,0,,0,0,0.0,0,0
8,2007,10,2007-11-18,23-130,HOU,,NOR,W 23-10,1,0,0,,0,0,0,,0,0,0,,0,3,31,10.33,0,,0,0,0.0,0,0
