
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts
1,2015,1,2015-09-13,22-088,WAS,,MIA,L 10-17,1,1,0,0.00,0,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,2,23,11.50,0,,0,0
2,2015,2,2015-09-20,22-095,WAS,,STL,W 24-10,1,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,5,12,2.40,0,,0,0
3,2015,3,2015-09-24,22-099,WAS,@,NYG,L 21-32,6,6,45,7.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,1,0,2
4,2015,4,2015-10-04,22-109,WAS,,PHI,W 23-20,12,7,65,9.29,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,2,1.00,0,,0,0
5,2015,5,2015-10-11,22-116,WAS,@,ATL,L 19-25,8,8,87,10.88,0,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,1,10,10.00,0,,0,0
6,2015,6,2015-10-18,22-123,WAS,@,NYJ,L 20-34,9,4,40,10.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,,0,0
7,2015,7,2015-10-25,22-130,WAS,,TAM,W 31-30,5,5,48,9.60,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,4,4.00,0,,0,0
8,2015,8,2015-11-08,22-144,WAS,@,NWE,L 10-27,8,6,50,8.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,9,9.00,0,,0,0
9,2015,9,2015-11-15,22-151,WAS,,NOR,W 47-14,5,4,60,15.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,26,6.50,0,,1,6
10,2015,10,2015-11-22,22-158,WAS,@,CAR,L 16-44,1,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,1,13,13.00,0,2,3,1.50,0,,0,0
11,2015,11,2015-11-29,22-165,WAS,,NYG,W 20-14,4,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,24,12.00,0,,0,0
,,,11 Games,,,,,5-6-0,60,45,419,9.31,1,2,2,1.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,13,13.00,0,21,123,5.86,0,1,,8
