
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,11,2013-11-24,24-093,OAK,,TEN,L 19-23,,,,,,,,,,,,,
2,2013,12,2013-11-28,24-097,OAK,@,DAL,L 24-31,0,0,,0,4,42,10.50,0,0,6,0.0,0,0
3,2013,13,2013-12-08,24-107,OAK,@,NYJ,L 27-37,3,58,19.33,0,0,0,,0,0,0,0.0,0,0
4,2013,14,2013-12-15,24-114,OAK,,KAN,L 31-56,1,23,23.00,0,1,6,6.00,0,0,0,0.0,0,0
5,2013,15,2013-12-22,24-121,OAK,@,SDG,L 13-26,6,140,23.33,0,0,0,,0,0,0,0.0,1,0
6,2013,16,2013-12-29,24-128,OAK,,DEN,L 14-34,,,,,,,,,,,,,
,,,6 Games,,,,,0-6-0,10,221,22.10,0,5,48,9.60,0,0,6,0.0,1,0
