
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2015,5,2015-10-11,24-298,GNB,,STL,W 24-10,0,0,0,,0,0,0,,0
2,2015,6,2015-10-18,24-305,GNB,,SDG,W 27-20,0,0,0,,0,1,30,30.00,0
3,2015,7,2015-11-01,24-319,GNB,@,DEN,L 10-29,0,0,0,,0,1,22,22.00,0
4,2015,9,2015-11-15,24-333,GNB,,DET,L 16-18,7,4,57,14.25,0,0,0,,0
,,,4 Games,,,,,2-2-0,7,4,57,14.25,0,2,52,26.00,0
