
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,2014,1,2014-09-07,23-325,TAM,,CAR,L 14-20,0,0,,0,2,52,26.00,0,4,56,14.00,0
2,2014,2,2014-09-14,23-332,TAM,,STL,L 17-19,0,0,,0,3,71,23.67,0,1,0,0.00,0
3,2014,3,2014-09-18,23-336,TAM,@,ATL,L 14-56,0,0,,0,4,78,19.50,0,1,9,9.00,0
4,2014,4,2014-09-28,23-346,TAM,@,PIT,W 27-24,1,19,19.00,0,2,45,22.50,0,2,29,14.50,0
5,2014,5,2014-10-05,23-353,TAM,@,NOR,L 31-37,0,0,,0,3,75,25.00,0,1,11,11.00,0
6,2014,6,2014-10-12,23-360,TAM,,BAL,L 17-48,0,0,,0,3,72,24.00,0,1,7,7.00,0
7,2014,13,2014-12-07,24-051,TAM,@,DET,L 17-34,0,0,,0,1,23,23.00,0,0,0,,0
,,,7 Games,,,,,1-6-0,1,19,19.00,0,18,416,23.11,0,10,112,11.20,0
