
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2015,1,2015-09-13,24-203,OAK,,CIN,L 13-33,6,3,12,4.00,0,0,0,,0,0,0
2,2015,2,2015-09-20,24-210,OAK,,BAL,W 37-33,1,1,12,12.00,1,0,0,,0,1,6
3,2015,3,2015-09-27,24-217,OAK,@,CLE,W 27-20,5,3,56,18.67,1,0,0,,0,1,6
4,2015,4,2015-10-04,24-224,OAK,@,CHI,L 20-22,2,0,0,,0,0,0,,0,0,0
5,2015,5,2015-10-11,24-231,OAK,,DEN,L 10-16,2,0,0,,0,0,0,,0,0,0
6,2015,6,2015-10-25,24-245,OAK,@,SDG,W 37-29,2,1,6,6.00,0,0,0,,0,0,0
7,2015,7,2015-11-01,24-252,OAK,,NYJ,W 34-20,1,1,21,21.00,0,0,0,,0,0,0
8,2015,8,2015-11-08,24-259,OAK,@,PIT,L 35-38,4,3,73,24.33,0,0,0,,0,0,0
9,2015,9,2015-11-15,24-266,OAK,,MIN,L 14-30,4,1,5,5.00,0,0,0,,0,0,0
10,2015,10,2015-11-22,24-273,OAK,@,DET,L 13-18,2,2,54,27.00,0,2,47,23.50,0,0,0
11,2015,11,2015-11-29,24-280,OAK,@,TEN,W 24-21,7,6,113,18.83,2,0,0,,0,2,12
,,,11 Games,,,,,5-6-0,36,21,352,16.76,4,2,47,23.50,0,,24
