
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2011,11,2011-11-27,22-181,BUF,@,NYJ,L 24-28,,,,,,,,,,
2,2011,15,2011-12-24,22-208,BUF,,DEN,W 40-14,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
3,2012,15,2012-12-23,23-207,NWE,@,JAX,W 23-16,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
4,2014,1,2014-09-07,25-100,BAL,,CIN,L 16-23,4,4,30,7.50,0,0,0,0.0,0,0
5,2014,2,2014-09-11,25-104,BAL,,PIT,W 26-6,,,,,,,,,,
6,2014,3,2014-09-21,25-114,BAL,@,CLE,W 23-21,,,,,,,,,,
7,2014,4,2014-09-28,25-121,BAL,,CAR,W 38-10,1,1,22,22.00,0,0,0,0.0,0,0
8,2014,5,2014-10-05,25-128,BAL,@,IND,L 13-20,1,1,8,8.00,0,0,0,0.0,0,0
9,2014,6,2014-10-12,25-135,BAL,@,TAM,W 48-17,2,2,20,10.00,1,1,6,0.0,0,0
10,2014,7,2014-10-19,25-142,BAL,,ATL,W 29-7,1,1,18,18.00,0,0,0,0.0,0,0
11,2014,8,2014-10-26,25-149,BAL,@,CIN,L 24-27,6,2,15,7.50,0,0,0,0.0,0,0
12,2014,9,2014-11-02,25-156,BAL,@,PIT,L 23-43,1,1,12,12.00,0,0,0,0.0,0,1
13,2014,10,2014-11-09,25-163,BAL,,TEN,W 21-7,1,1,13,13.00,0,0,0,0.0,0,0
14,2014,11,2014-11-24,25-178,BAL,@,NOR,W 34-27,,,,,,,,,,
15,2014,12,2014-11-30,25-184,BAL,,SDG,L 33-34,4,3,51,17.00,0,0,0,0.0,0,0
16,2014,13,2014-12-07,25-191,BAL,@,MIA,W 28-13,7,6,65,10.83,1,1,6,0.0,0,0
17,2014,14,2014-12-14,25-198,BAL,,JAX,W 20-12,1,0,0,,0,0,0,0.0,2,0
18,2014,15,2014-12-21,25-205,BAL,@,HOU,L 13-25,1,0,0,,0,0,0,0.0,0,1
19,2014,16,2014-12-28,25-212,BAL,,CLE,W 20-10,2,2,13,6.50,1,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
20,2015,1,2015-09-13,26-106,BAL,@,DEN,L 13-19,3,1,-1,-1.00,0,0,0,0.0,0,0
21,2015,2,2015-09-20,26-113,BAL,@,OAK,L 33-37,7,5,89,17.80,0,0,0,0.0,0,0
22,2015,3,2015-09-27,26-120,BAL,,CIN,L 24-28,1,0,0,,0,0,0,0.0,0,0
23,2015,4,2015-10-01,26-124,BAL,@,PIT,W 23-20,7,5,77,15.40,1,1,6,0.0,0,0
24,2015,5,2015-10-11,26-134,BAL,,CLE,L 30-33,9,4,78,19.50,0,0,0,0.0,0,0
25,2015,6,2015-10-18,26-141,BAL,@,SFO,L 20-25,8,3,22,7.33,1,1,6,0.0,0,0
26,2015,7,2015-10-26,26-149,BAL,@,ARI,L 18-26,3,1,6,6.00,0,0,0,0.0,0,0
27,2015,8,2015-11-01,26-155,BAL,,SDG,W 29-26,6,6,62,10.33,0,0,0,0.0,0,0
28,2015,9,2015-11-15,26-169,BAL,,JAX,L 20-22,14,7,73,10.43,0,0,0,0.0,0,0
29,2015,10,2015-11-22,26-176,BAL,,STL,W 16-13,8,5,50,10.00,1,1,6,0.0,0,0
30,2015,11,2015-11-30,26-184,BAL,@,CLE,W 33-27,10,6,80,13.33,1,1,6,0.0,0,0
,,,30 Games,,,,,16-14-0,108,67,803,11.99,7,7,42,0.0,2,2
