
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,2,2015-09-20,22-364,CHI,,ARI,L 23-48,4,3,36,12.00,0
2,2015,3,2015-09-27,23-006,CHI,@,SEA,L 0-26,0,0,0,,0
3,2015,4,2015-10-04,23-013,CHI,,OAK,W 22-20,2,0,0,,0
4,2015,5,2015-10-11,23-020,CHI,@,KAN,W 18-17,4,4,52,13.00,0
5,2015,6,2015-10-18,23-027,CHI,@,DET,L 34-37,1,1,7,7.00,0
6,2015,8,2015-11-09,23-049,CHI,@,SDG,W 22-19,0,0,0,,0
7,2015,9,2015-11-15,23-055,CHI,@,STL,W 37-13,0,0,0,,0
8,2015,10,2015-11-22,23-062,CHI,,DEN,L 15-17,1,1,6,6.00,0
,,,8 Games,,,,,4-4-0,12,9,101,11.22,0
