
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2013,7,2013-10-20,24-144,PHI,,DAL,L 3-17
2,2013,8,2013-10-27,24-151,PHI,,NYG,L 7-15
,,,2 Games,,,,,0-2-0
