
,,,,,,,,,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Sk,Tkl,Ast,Int,Yds,TD
1,2015,4,2015-10-04,23-074,WAS,,PHI,W 23-20,0.0,0,0,0,0,0
2,2015,5,2015-10-11,23-081,WAS,@,ATL,L 19-25,0.0,0,0,0,0,0
3,2015,6,2015-10-18,23-088,WAS,@,NYJ,L 20-34,0.0,0,0,0,0,0
4,2015,7,2015-10-25,23-095,WAS,,TAM,W 31-30,0.0,0,0,0,0,0
5,2015,8,2015-11-08,23-109,WAS,@,NWE,L 10-27,0.0,0,0,0,0,0
6,2015,10,2015-11-22,23-123,WAS,@,CAR,L 16-44,0.0,0,0,0,0,0
7,2015,11,2015-11-29,23-130,WAS,,NYG,W 20-14,0.0,2,0,1,0,0
,,,7 Games,,,,,3-4-0,0.0,2,0,1,0,0
